output_prefix	name	motif_id	cluster	total_tfbs	oRG_mean_score	oRG_bound	vRG_mean_score	vRG_bound	oRG_vRG_change	oRG_vRG_pvalue	oRG_vRG_highlighted
ATF1_HUMAN.H11MO.0.B_ATF1_HUMAN.H11MO.0.B	ATF1_HUMAN.H11MO.0.B	ATF1_HUMAN.H11MO.0.B	C_ATF1_HUMAN.H11MO.0.B	8735	0.4106	3232	0.42918	3316	-0.1445	1.58951E-113	True
ATF2_HUMAN.H11MO.0.B_ATF2_HUMAN.H11MO.0.B	ATF2_HUMAN.H11MO.0.B	ATF2_HUMAN.H11MO.0.B	C_ATF2_HUMAN.H11MO.0.B	25955	0.19182	4338	0.20001	4478	-0.09521	1.57688E-115	False
ATF3_HUMAN.H11MO.0.A_ATF3_HUMAN.H11MO.0.A	ATF3_HUMAN.H11MO.0.A	ATF3_HUMAN.H11MO.0.A	C_ATF3_HUMAN.H11MO.0.A	11473	0.36593	3754	0.38009	3825	-0.09678	7.85180E-102	False
ATF4_HUMAN.H11MO.0.A_ATF4_HUMAN.H11MO.0.A	ATF4_HUMAN.H11MO.0.A	ATF4_HUMAN.H11MO.0.A	C_CEBPG_HUMAN.H11MO.0.B	25374	0.12801	2747	0.12899	2756	-0.00325	5.68780E-09	False
ATF6A_HUMAN.H11MO.0.B_ATF6A_HUMAN.H11MO.0.B	ATF6A_HUMAN.H11MO.0.B	ATF6A_HUMAN.H11MO.0.B	C_ATF6A_HUMAN.H11MO.0.B	17625	0.29724	5001	0.30775	5129	-0.09783	9.72928E-113	False
ATOH1_HUMAN.H11MO.0.B_ATOH1_HUMAN.H11MO.0.B	ATOH1_HUMAN.H11MO.0.B	ATOH1_HUMAN.H11MO.0.B	C_BHA15_HUMAN.H11MO.0.B	64522	0.14929	9513	0.16269	10480	-0.23001	1.15609E-183	True
BACH1_HUMAN.H11MO.0.A_BACH1_HUMAN.H11MO.0.A	BACH1_HUMAN.H11MO.0.A	BACH1_HUMAN.H11MO.0.A	C_BACH1_HUMAN.H11MO.0.A	48318	0.18163	8716	0.18741	9024	-0.05877	2.56559E-115	False
BACH2_HUMAN.H11MO.0.A_BACH2_HUMAN.H11MO.0.A	BACH2_HUMAN.H11MO.0.A	BACH2_HUMAN.H11MO.0.A	C_BACH2_HUMAN.H11MO.0.A	37823	0.13799	4769	0.14185	4888	-0.06194	2.11399E-104	False
BATF3_HUMAN.H11MO.0.B_BATF3_HUMAN.H11MO.0.B	BATF3_HUMAN.H11MO.0.B	BATF3_HUMAN.H11MO.0.B	C_BATF3_HUMAN.H11MO.0.B	43923	0.10963	3865	0.10769	3678	0.03353	9.12055E-91	False
BATF_HUMAN.H11MO.0.A_BATF_HUMAN.H11MO.0.A	BATF_HUMAN.H11MO.0.A	BATF_HUMAN.H11MO.0.A	C_BATF_HUMAN.H11MO.0.A	32074	0.10367	2577	0.10354	2522	-0.00385	2.71970E-08	False
BC11A_HUMAN.H11MO.0.A_BC11A_HUMAN.H11MO.0.A	BC11A_HUMAN.H11MO.0.A	BC11A_HUMAN.H11MO.0.A	C_BC11A_HUMAN.H11MO.0.A	145740	0.13313	17348	0.13295	17085	0.01275	1.69095E-66	False
BCL6_HUMAN.H11MO.0.A_BCL6_HUMAN.H11MO.0.A	BCL6_HUMAN.H11MO.0.A	BCL6_HUMAN.H11MO.0.A	C_BCL6_HUMAN.H11MO.0.A	53192	0.12923	6052	0.12904	6003	0.00762	1.45980E-30	False
BHA15_HUMAN.H11MO.0.B_BHA15_HUMAN.H11MO.0.B	BHA15_HUMAN.H11MO.0.B	BHA15_HUMAN.H11MO.0.B	C_BHA15_HUMAN.H11MO.0.B	78587	0.17103	13929	0.18146	14819	-0.16547	1.93784E-172	True
BHE40_HUMAN.H11MO.0.A_BHE40_HUMAN.H11MO.0.A	BHE40_HUMAN.H11MO.0.A	BHE40_HUMAN.H11MO.0.A	C_BHE40_HUMAN.H11MO.0.A	15032	0.22172	3138	0.23032	3218	-0.09809	1.97643E-110	False
BMAL1_HUMAN.H11MO.0.A_BMAL1_HUMAN.H11MO.0.A	BMAL1_HUMAN.H11MO.0.A	BMAL1_HUMAN.H11MO.0.A	C_BHE40_HUMAN.H11MO.0.A	20699	0.18999	3659	0.19718	3729	-0.10136	9.43648E-118	False
BRAC_HUMAN.H11MO.0.A_BRAC_HUMAN.H11MO.0.A	BRAC_HUMAN.H11MO.0.A	BRAC_HUMAN.H11MO.0.A	C_BRAC_HUMAN.H11MO.0.A	37743	0.13028	4319	0.13109	4278	-0.02007	1.82959E-60	False
CDX1_HUMAN.H11MO.0.C_CDX1_HUMAN.H11MO.0.C	CDX1_HUMAN.H11MO.0.C	CDX1_HUMAN.H11MO.0.C	C_CDX1_HUMAN.H11MO.0.C	23249	0.09844	1732	0.09543	1654	0.0491	6.65875E-86	False
CDX2_HUMAN.H11MO.0.A_CDX2_HUMAN.H11MO.0.A	CDX2_HUMAN.H11MO.0.A	CDX2_HUMAN.H11MO.0.A	C_CDX2_HUMAN.H11MO.0.A	36163	0.10971	3217	0.10691	3017	0.04638	1.44890E-93	False
CEBPA_HUMAN.H11MO.0.A_CEBPA_HUMAN.H11MO.0.A	CEBPA_HUMAN.H11MO.0.A	CEBPA_HUMAN.H11MO.0.A	C_CEBPD_HUMAN.H11MO.0.C	23955	0.12558	2574	0.12436	2545	0.01255	4.16693E-33	False
CEBPB_HUMAN.H11MO.0.A_CEBPB_HUMAN.H11MO.0.A	CEBPB_HUMAN.H11MO.0.A	CEBPB_HUMAN.H11MO.0.A	C_CEBPD_HUMAN.H11MO.0.C	19309	0.13003	2159	0.12907	2135	0.00847	1.13754E-22	False
CEBPD_HUMAN.H11MO.0.C_CEBPD_HUMAN.H11MO.0.C	CEBPD_HUMAN.H11MO.0.C	CEBPD_HUMAN.H11MO.0.C	C_CEBPD_HUMAN.H11MO.0.C	20497	0.14638	2729	0.14711	2722	-0.01068	1.08165E-25	False
CEBPE_HUMAN.H11MO.0.A_CEBPE_HUMAN.H11MO.0.A	CEBPE_HUMAN.H11MO.0.A	CEBPE_HUMAN.H11MO.0.A	C_CEBPE_HUMAN.H11MO.0.A	14523	0.12175	1494	0.12105	1451	0.01892	1.27779E-38	False
CEBPG_HUMAN.H11MO.0.B_CEBPG_HUMAN.H11MO.0.B	CEBPG_HUMAN.H11MO.0.B	CEBPG_HUMAN.H11MO.0.B	C_CEBPG_HUMAN.H11MO.0.B	28012	0.12974	3094	0.13092	3090	-0.0087	3.19917E-28	False
CLOCK_HUMAN.H11MO.0.C_CLOCK_HUMAN.H11MO.0.C	CLOCK_HUMAN.H11MO.0.C	CLOCK_HUMAN.H11MO.0.C	C_CLOCK_HUMAN.H11MO.0.C	33481	0.17664	5633	0.18244	5684	-0.08491	4.81728E-121	False
COE1_HUMAN.H11MO.0.A_COE1_HUMAN.H11MO.0.A	COE1_HUMAN.H11MO.0.A	COE1_HUMAN.H11MO.0.A	C_COE1_HUMAN.H11MO.0.A	63920	0.15662	9532	0.15975	9649	-0.04272	1.11983E-105	False
COT1_HUMAN.H11MO.0.C_COT1_HUMAN.H11MO.0.C	COT1_HUMAN.H11MO.0.C	COT1_HUMAN.H11MO.0.C	C_RXRA_HUMAN.H11MO.0.A	105713	0.19466	20662	0.2002	21155	-0.05735	6.05049E-125	False
COT2_HUMAN.H11MO.0.A_COT2_HUMAN.H11MO.0.A	COT2_HUMAN.H11MO.0.A	COT2_HUMAN.H11MO.0.A	C_COT2_HUMAN.H11MO.0.A	44868	0.12532	4826	0.12537	4734	0.01312	6.62575E-49	False
CREB1_HUMAN.H11MO.0.A_CREB1_HUMAN.H11MO.0.A	CREB1_HUMAN.H11MO.0.A	CREB1_HUMAN.H11MO.0.A	C_ATF1_HUMAN.H11MO.0.B	10036	0.34796	3076	0.36484	3154	-0.13398	1.40281E-112	False
CREM_HUMAN.H11MO.0.C_CREM_HUMAN.H11MO.0.C	CREM_HUMAN.H11MO.0.C	CREM_HUMAN.H11MO.0.C	C_CREM_HUMAN.H11MO.0.C	17910	0.23416	3767	0.24355	3863	-0.09346	3.29085E-115	False
CRX_HUMAN.H11MO.0.B_CRX_HUMAN.H11MO.0.B	CRX_HUMAN.H11MO.0.B	CRX_HUMAN.H11MO.0.B	C_CRX_HUMAN.H11MO.0.B	27189	0.12611	2960	0.12572	2889	0.01503	1.49365E-39	False
CTCFL_HUMAN.H11MO.0.A_CTCFL_HUMAN.H11MO.0.A	CTCFL_HUMAN.H11MO.0.A	CTCFL_HUMAN.H11MO.0.A	C_CTCFL_HUMAN.H11MO.0.A	109565	0.29423	37656	0.29833	37923	-0.0163	1.70651E-75	False
CTCF_HUMAN.H11MO.0.A_CTCF_HUMAN.H11MO.0.A	CTCF_HUMAN.H11MO.0.A	CTCF_HUMAN.H11MO.0.A	C_CTCFL_HUMAN.H11MO.0.A	90180	0.27097	28982	0.27367	28981	-0.00266	1.25796E-10	False
CUX1_HUMAN.H11MO.0.C_CUX1_HUMAN.H11MO.0.C	CUX1_HUMAN.H11MO.0.C	CUX1_HUMAN.H11MO.0.C	C_CUX1_HUMAN.H11MO.0.C	7095	0.1598	1004	0.16211	983	-0.03113	6.67701E-48	False
DBP_HUMAN.H11MO.0.B_DBP_HUMAN.H11MO.0.B	DBP_HUMAN.H11MO.0.B	DBP_HUMAN.H11MO.0.B	C_DBP_HUMAN.H11MO.0.B	23198	0.11645	2194	0.11391	2148	0.03517	3.22932E-74	False
DLX3_HUMAN.H11MO.0.C_DLX3_HUMAN.H11MO.0.C	DLX3_HUMAN.H11MO.0.C	DLX3_HUMAN.H11MO.0.C	C_DLX3_HUMAN.H11MO.0.C	28193	0.13983	3593	0.13232	3376	0.10313	1.80685E-121	True
DUX4_HUMAN.H11MO.0.A_DUX4_HUMAN.H11MO.0.A	DUX4_HUMAN.H11MO.0.A	DUX4_HUMAN.H11MO.0.A	C_DUX4_HUMAN.H11MO.0.A	27337	0.10848	2290	0.10621	2169	0.04468	5.68183E-88	False
E2F1_HUMAN.H11MO.0.A_E2F1_HUMAN.H11MO.0.A	E2F1_HUMAN.H11MO.0.A	E2F1_HUMAN.H11MO.0.A	C_E2F7_HUMAN.H11MO.0.B	96422	0.32147	33866	0.33129	34787	-0.08723	7.84093E-139	False
E2F2_HUMAN.H11MO.0.B_E2F2_HUMAN.H11MO.0.B	E2F2_HUMAN.H11MO.0.B	E2F2_HUMAN.H11MO.0.B	C_E2F2_HUMAN.H11MO.0.B	18867	0.37479	7592	0.38584	7765	-0.07944	1.04379E-105	False
E2F3_HUMAN.H11MO.0.A_E2F3_HUMAN.H11MO.0.A	E2F3_HUMAN.H11MO.0.A	E2F3_HUMAN.H11MO.0.A	C_E2F6_HUMAN.H11MO.0.A	87185	0.22815	20413	0.23412	20918	-0.05783	1.13746E-128	False
E2F4_HUMAN.H11MO.0.A_E2F4_HUMAN.H11MO.0.A	E2F4_HUMAN.H11MO.0.A	E2F4_HUMAN.H11MO.0.A	C_E2F7_HUMAN.H11MO.0.B	103292	0.37256	41477	0.38304	42468	-0.08935	8.69798E-148	False
E2F5_HUMAN.H11MO.0.B_E2F5_HUMAN.H11MO.0.B	E2F5_HUMAN.H11MO.0.B	E2F5_HUMAN.H11MO.0.B	C_E2F5_HUMAN.H11MO.0.B	10298	0.29536	3332	0.3055	3435	-0.05953	4.09728E-80	False
E2F6_HUMAN.H11MO.0.A_E2F6_HUMAN.H11MO.0.A	E2F6_HUMAN.H11MO.0.A	E2F6_HUMAN.H11MO.0.A	C_E2F6_HUMAN.H11MO.0.A	124930	0.2517	33310	0.25949	34304	-0.07717	6.65788E-141	False
E2F7_HUMAN.H11MO.0.B_E2F7_HUMAN.H11MO.0.B	E2F7_HUMAN.H11MO.0.B	E2F7_HUMAN.H11MO.0.B	C_E2F7_HUMAN.H11MO.0.B	139891	0.29274	42728	0.3014	43811	-0.07552	4.56275E-145	False
EGR1_HUMAN.H11MO.0.A_EGR1_HUMAN.H11MO.0.A	EGR1_HUMAN.H11MO.0.A	EGR1_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	164914	0.28068	49119	0.29063	50811	-0.1058	1.87251E-162	False
EGR2_HUMAN.H11MO.0.A_EGR2_HUMAN.H11MO.0.A	EGR2_HUMAN.H11MO.0.A	EGR2_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	205923	0.24939	53676	0.25843	55488	-0.09958	2.14998E-172	True
EHF_HUMAN.H11MO.0.B_EHF_HUMAN.H11MO.0.B	EHF_HUMAN.H11MO.0.B	EHF_HUMAN.H11MO.0.B	C_ELF5_HUMAN.H11MO.0.A	54118	0.17149	8518	0.17152	8382	0.03042	6.63427E-82	False
ELF1_HUMAN.H11MO.0.A_ELF1_HUMAN.H11MO.0.A	ELF1_HUMAN.H11MO.0.A	ELF1_HUMAN.H11MO.0.A	C_ELF5_HUMAN.H11MO.0.A	43618	0.25669	11128	0.26152	11156	-0.00326	8.11720E-10	False
ELF2_HUMAN.H11MO.0.C_ELF2_HUMAN.H11MO.0.C	ELF2_HUMAN.H11MO.0.C	ELF2_HUMAN.H11MO.0.C	C_ELF2_HUMAN.H11MO.0.C	45664	0.26564	11960	0.27129	12015	-0.01377	3.46512E-50	False
ELF3_HUMAN.H11MO.0.A_ELF3_HUMAN.H11MO.0.A	ELF3_HUMAN.H11MO.0.A	ELF3_HUMAN.H11MO.0.A	C_ELF5_HUMAN.H11MO.0.A	72966	0.14542	9442	0.14433	9193	0.0358	6.07521E-102	False
ELF5_HUMAN.H11MO.0.A_ELF5_HUMAN.H11MO.0.A	ELF5_HUMAN.H11MO.0.A	ELF5_HUMAN.H11MO.0.A	C_ELF5_HUMAN.H11MO.0.A	81334	0.18765	14616	0.18983	14628	-0.00472	5.04589E-22	False
ELK1_HUMAN.H11MO.0.B_ELK1_HUMAN.H11MO.0.B	ELK1_HUMAN.H11MO.0.B	ELK1_HUMAN.H11MO.0.B	C_ELF2_HUMAN.H11MO.0.C	26910	0.30796	8095	0.31389	8087	0.00448	1.44127E-09	False
ELK4_HUMAN.H11MO.0.A_ELK4_HUMAN.H11MO.0.A	ELK4_HUMAN.H11MO.0.A	ELK4_HUMAN.H11MO.0.A	C_ELF2_HUMAN.H11MO.0.C	25244	0.35751	9062	0.36639	9122	-0.018	9.65631E-49	False
EPAS1_HUMAN.H11MO.0.B_EPAS1_HUMAN.H11MO.0.B	EPAS1_HUMAN.H11MO.0.B	EPAS1_HUMAN.H11MO.0.B	C_ARNT_HUMAN.H11MO.0.B	7190	0.20437	1465	0.2139	1542	-0.09507	1.97376E-94	False
ERG_HUMAN.H11MO.0.A_ERG_HUMAN.H11MO.0.A	ERG_HUMAN.H11MO.0.A	ERG_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	103786	0.18551	18704	0.1876	18662	-0.00548	2.92086E-30	False
ERR1_HUMAN.H11MO.0.A_ERR1_HUMAN.H11MO.0.A	ERR1_HUMAN.H11MO.0.A	ERR1_HUMAN.H11MO.0.A	C_ERR2_HUMAN.H11MO.0.A	34108	0.11759	3318	0.11766	3261	0.00326	8.79825E-05	False
ERR2_HUMAN.H11MO.0.A_ERR2_HUMAN.H11MO.0.A	ERR2_HUMAN.H11MO.0.A	ERR2_HUMAN.H11MO.0.A	C_ERR2_HUMAN.H11MO.0.A	30782	0.11795	3059	0.11749	2968	0.00504	2.38527E-10	False
ERR3_HUMAN.H11MO.0.B_ERR3_HUMAN.H11MO.0.B	ERR3_HUMAN.H11MO.0.B	ERR3_HUMAN.H11MO.0.B	C_ERR3_HUMAN.H11MO.0.B	20377	0.11062	1841	0.10974	1809	0.02743	7.35796E-63	False
ESR1_HUMAN.H11MO.0.A_ESR1_HUMAN.H11MO.0.A	ESR1_HUMAN.H11MO.0.A	ESR1_HUMAN.H11MO.0.A	C_ESR2_HUMAN.H11MO.0.A	40655	0.16197	6400	0.16425	6442	-0.02986	7.29913E-78	False
ESR2_HUMAN.H11MO.0.A_ESR2_HUMAN.H11MO.0.A	ESR2_HUMAN.H11MO.0.A	ESR2_HUMAN.H11MO.0.A	C_ESR2_HUMAN.H11MO.0.A	49557	0.20333	10350	0.20749	10553	-0.04054	4.23875E-96	False
ETS1_HUMAN.H11MO.0.A_ETS1_HUMAN.H11MO.0.A	ETS1_HUMAN.H11MO.0.A	ETS1_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	68077	0.21396	14288	0.21694	14261	-0.00256	4.37447E-07	False
ETS2_HUMAN.H11MO.0.B_ETS2_HUMAN.H11MO.0.B	ETS2_HUMAN.H11MO.0.B	ETS2_HUMAN.H11MO.0.B	C_ETS2_HUMAN.H11MO.0.B	144871	0.15759	21700	0.15934	21755	-0.00766	2.03603E-53	False
ETV1_HUMAN.H11MO.0.A_ETV1_HUMAN.H11MO.0.A	ETV1_HUMAN.H11MO.0.A	ETV1_HUMAN.H11MO.0.A	C_ELF2_HUMAN.H11MO.0.C	37795	0.28614	10854	0.29189	10849	-0.01345	9.11180E-48	False
ETV2_HUMAN.H11MO.0.B_ETV2_HUMAN.H11MO.0.B	ETV2_HUMAN.H11MO.0.B	ETV2_HUMAN.H11MO.0.B	C_FLI1_HUMAN.H11MO.0.A	86388	0.17827	14959	0.1795	14793	0.00749	7.06361E-40	False
ETV4_HUMAN.H11MO.0.B_ETV4_HUMAN.H11MO.0.B	ETV4_HUMAN.H11MO.0.B	ETV4_HUMAN.H11MO.0.B	C_FLI1_HUMAN.H11MO.0.A	95160	0.15167	13477	0.1518	13316	0.01336	1.18277E-65	False
ETV5_HUMAN.H11MO.0.C_ETV5_HUMAN.H11MO.0.C	ETV5_HUMAN.H11MO.0.C	ETV5_HUMAN.H11MO.0.C	C_FLI1_HUMAN.H11MO.0.A	142735	0.16527	22642	0.16717	22733	-0.00805	1.21591E-47	False
EVI1_HUMAN.H11MO.0.B_EVI1_HUMAN.H11MO.0.B	EVI1_HUMAN.H11MO.0.B	EVI1_HUMAN.H11MO.0.B	C_EVI1_HUMAN.H11MO.0.B	31182	0.08453	1720	0.08301	1570	0.03209	4.09087E-74	False
FEV_HUMAN.H11MO.0.B_FEV_HUMAN.H11MO.0.B	FEV_HUMAN.H11MO.0.B	FEV_HUMAN.H11MO.0.B	C_FEV_HUMAN.H11MO.0.B	52148	0.27884	15292	0.28561	15513	-0.04553	2.14395E-105	False
FEZF1_HUMAN.H11MO.0.C_FEZF1_HUMAN.H11MO.0.C	FEZF1_HUMAN.H11MO.0.C	FEZF1_HUMAN.H11MO.0.C	C_FEZF1_HUMAN.H11MO.0.C	73882	0.1199	7616	0.11859	7367	0.01933	4.32178E-82	False
FLI1_HUMAN.H11MO.0.A_FLI1_HUMAN.H11MO.0.A	FLI1_HUMAN.H11MO.0.A	FLI1_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	178841	0.18905	33733	0.19323	34373	-0.03794	2.62202E-119	False
FOSB_HUMAN.H11MO.0.A_FOSB_HUMAN.H11MO.0.A	FOSB_HUMAN.H11MO.0.A	FOSB_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	32429	0.1255	3586	0.13399	3826	-0.16289	7.64785E-145	True
FOSL1_HUMAN.H11MO.0.A_FOSL1_HUMAN.H11MO.0.A	FOSL1_HUMAN.H11MO.0.A	FOSL1_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	29826	0.12906	3464	0.13903	3737	-0.18746	2.38770E-148	True
FOSL2_HUMAN.H11MO.0.A_FOSL2_HUMAN.H11MO.0.A	FOSL2_HUMAN.H11MO.0.A	FOSL2_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	30703	0.12648	3461	0.13624	3733	-0.18577	2.38194E-148	True
FOS_HUMAN.H11MO.0.A_FOS_HUMAN.H11MO.0.A	FOS_HUMAN.H11MO.0.A	FOS_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	30166	0.1266	3401	0.13581	3639	-0.17582	4.51472E-151	True
FOXA1_HUMAN.H11MO.0.A_FOXA1_HUMAN.H11MO.0.A	FOXA1_HUMAN.H11MO.0.A	FOXA1_HUMAN.H11MO.0.A	C_FOXM1_HUMAN.H11MO.0.A	50138	0.10733	4238	0.10529	4007	0.03781	9.45956E-94	False
FOXA2_HUMAN.H11MO.0.A_FOXA2_HUMAN.H11MO.0.A	FOXA2_HUMAN.H11MO.0.A	FOXA2_HUMAN.H11MO.0.A	C_FOXM1_HUMAN.H11MO.0.A	45832	0.1134	4280	0.11184	4090	0.02608	9.79492E-79	False
FOXA3_HUMAN.H11MO.0.B_FOXA3_HUMAN.H11MO.0.B	FOXA3_HUMAN.H11MO.0.B	FOXA3_HUMAN.H11MO.0.B	C_FOXM1_HUMAN.H11MO.0.A	42456	0.10749	3605	0.10562	3450	0.03625	3.92994E-88	False
FOXC1_HUMAN.H11MO.0.C_FOXC1_HUMAN.H11MO.0.C	FOXC1_HUMAN.H11MO.0.C	FOXC1_HUMAN.H11MO.0.C	C_FOXC1_HUMAN.H11MO.0.C	42999	0.10155	3326	0.09944	3170	0.0389	2.58546E-96	False
FOXH1_HUMAN.H11MO.0.A_FOXH1_HUMAN.H11MO.0.A	FOXH1_HUMAN.H11MO.0.A	FOXH1_HUMAN.H11MO.0.A	C_FOXH1_HUMAN.H11MO.0.A	29835	0.12179	3016	0.12177	3018	-0.00641	1.62120E-17	False
FOXI1_HUMAN.H11MO.0.B_FOXI1_HUMAN.H11MO.0.B	FOXI1_HUMAN.H11MO.0.B	FOXI1_HUMAN.H11MO.0.B	C_NFYC_HUMAN.H11MO.0.A	29539	0.26475	6315	0.27016	6322	-0.02592	3.56849E-66	False
FOXJ2_HUMAN.H11MO.0.C_FOXJ2_HUMAN.H11MO.0.C	FOXJ2_HUMAN.H11MO.0.C	FOXJ2_HUMAN.H11MO.0.C	C_FOXJ2_HUMAN.H11MO.0.C	64368	0.09456	4450	0.09216	4137	0.05124	1.74843E-112	False
FOXJ3_HUMAN.H11MO.0.A_FOXJ3_HUMAN.H11MO.0.A	FOXJ3_HUMAN.H11MO.0.A	FOXJ3_HUMAN.H11MO.0.A	C_FOXJ3_HUMAN.H11MO.0.A	93325	0.09155	6158	0.08898	5729	0.06053	1.50682E-125	True
FOXK1_HUMAN.H11MO.0.A_FOXK1_HUMAN.H11MO.0.A	FOXK1_HUMAN.H11MO.0.A	FOXK1_HUMAN.H11MO.0.A	C_FOXK1_HUMAN.H11MO.0.A	67565	0.10988	6013	0.10826	5796	0.03185	9.18254E-98	False
FOXM1_HUMAN.H11MO.0.A_FOXM1_HUMAN.H11MO.0.A	FOXM1_HUMAN.H11MO.0.A	FOXM1_HUMAN.H11MO.0.A	C_FOXM1_HUMAN.H11MO.0.A	62510	0.11287	5843	0.1113	5629	0.02664	1.78074E-78	False
FOXO1_HUMAN.H11MO.0.A_FOXO1_HUMAN.H11MO.0.A	FOXO1_HUMAN.H11MO.0.A	FOXO1_HUMAN.H11MO.0.A	C_FOXO1_HUMAN.H11MO.0.A	62499	0.12738	7087	0.12641	6915	0.02185	1.01352E-74	False
FOXO3_HUMAN.H11MO.0.B_FOXO3_HUMAN.H11MO.0.B	FOXO3_HUMAN.H11MO.0.B	FOXO3_HUMAN.H11MO.0.B	C_FOXP2_HUMAN.H11MO.0.C	41183	0.11859	4164	0.11754	4035	0.01714	6.74914E-57	False
FOXO4_HUMAN.H11MO.0.C_FOXO4_HUMAN.H11MO.0.C	FOXO4_HUMAN.H11MO.0.C	FOXO4_HUMAN.H11MO.0.C	C_FOXO4_HUMAN.H11MO.0.C	55273	0.10522	4581	0.10322	4347	0.03679	4.45632E-98	False
FOXP1_HUMAN.H11MO.0.A_FOXP1_HUMAN.H11MO.0.A	FOXP1_HUMAN.H11MO.0.A	FOXP1_HUMAN.H11MO.0.A	C_FOXP1_HUMAN.H11MO.0.A	54849	0.11394	5224	0.11294	5028	0.01678	1.89674E-67	False
FOXP2_HUMAN.H11MO.0.C_FOXP2_HUMAN.H11MO.0.C	FOXP2_HUMAN.H11MO.0.C	FOXP2_HUMAN.H11MO.0.C	C_FOXP2_HUMAN.H11MO.0.C	30413	0.11404	2845	0.1135	2768	0.0063	2.20969E-19	False
FOXQ1_HUMAN.H11MO.0.C_FOXQ1_HUMAN.H11MO.0.C	FOXQ1_HUMAN.H11MO.0.C	FOXQ1_HUMAN.H11MO.0.C	C_FOXQ1_HUMAN.H11MO.0.C	44390	0.09777	3224	0.09429	2965	0.05979	5.53649E-109	True
GABPA_HUMAN.H11MO.0.A_GABPA_HUMAN.H11MO.0.A	GABPA_HUMAN.H11MO.0.A	GABPA_HUMAN.H11MO.0.A	C_ELF2_HUMAN.H11MO.0.C	38710	0.31068	12203	0.31782	12267	-0.02854	1.88145E-76	False
