output_prefix	name	motif_id	cluster	total_tfbs	MG_mean_score	MG_bound	OPC_mean_score	OPC_bound	MG_OPC_change	MG_OPC_pvalue	MG_OPC_highlighted
ATF1_HUMAN.H11MO.0.B_ATF1_HUMAN.H11MO.0.B	ATF1_HUMAN.H11MO.0.B	ATF1_HUMAN.H11MO.0.B	C_ATF1_HUMAN.H11MO.0.B	10917	0.38011	3029	0.39136	2959	0.06017	6.82653E-87	False
ATF2_HUMAN.H11MO.0.B_ATF2_HUMAN.H11MO.0.B	ATF2_HUMAN.H11MO.0.B	ATF2_HUMAN.H11MO.0.B	C_ATF2_HUMAN.H11MO.0.B	34767	0.15425	3947	0.1535	3588	0.08379	1.65552E-117	False
ATF3_HUMAN.H11MO.0.A_ATF3_HUMAN.H11MO.0.A	ATF3_HUMAN.H11MO.0.A	ATF3_HUMAN.H11MO.0.A	C_ATF3_HUMAN.H11MO.0.A	15386	0.33881	3850	0.33661	3642	0.14795	3.44686E-127	False
ATF4_HUMAN.H11MO.0.A_ATF4_HUMAN.H11MO.0.A	ATF4_HUMAN.H11MO.0.A	ATF4_HUMAN.H11MO.0.A	C_CEBPG_HUMAN.H11MO.0.B	33436	0.10406	2510	0.09323	1883	0.10651	5.14294E-130	False
ATF6A_HUMAN.H11MO.0.B_ATF6A_HUMAN.H11MO.0.B	ATF6A_HUMAN.H11MO.0.B	ATF6A_HUMAN.H11MO.0.B	C_ATF6A_HUMAN.H11MO.0.B	20709	0.28387	4653	0.29988	4844	0.02158	1.54581E-53	False
ATOH1_HUMAN.H11MO.0.B_ATOH1_HUMAN.H11MO.0.B	ATOH1_HUMAN.H11MO.0.B	ATOH1_HUMAN.H11MO.0.B	C_ATOH1_HUMAN.H11MO.0.B	89233	0.10061	7032	0.1461	10494	-0.1802	2.28950E-174	False
BACH1_HUMAN.H11MO.0.A_BACH1_HUMAN.H11MO.0.A	BACH1_HUMAN.H11MO.0.A	BACH1_HUMAN.H11MO.0.A	C_BACH1_HUMAN.H11MO.0.A	66422	0.15123	8133	0.14663	7798	0.10699	5.32093E-145	False
BACH2_HUMAN.H11MO.0.A_BACH2_HUMAN.H11MO.0.A	BACH2_HUMAN.H11MO.0.A	BACH2_HUMAN.H11MO.0.A	C_BACH2_HUMAN.H11MO.0.A	54619	0.12337	5499	0.10349	3952	0.14345	4.90592E-156	False
BATF3_HUMAN.H11MO.0.B_BATF3_HUMAN.H11MO.0.B	BATF3_HUMAN.H11MO.0.B	BATF3_HUMAN.H11MO.0.B	C_BATF3_HUMAN.H11MO.0.B	61045	0.09442	4187	0.076	2565	0.15777	1.71213E-158	False
BATF_HUMAN.H11MO.0.A_BATF_HUMAN.H11MO.0.A	BATF_HUMAN.H11MO.0.A	BATF_HUMAN.H11MO.0.A	C_BATF_HUMAN.H11MO.0.A	46469	0.08959	3010	0.07215	1745	0.14738	3.02279E-145	False
BC11A_HUMAN.H11MO.0.A_BC11A_HUMAN.H11MO.0.A	BC11A_HUMAN.H11MO.0.A	BC11A_HUMAN.H11MO.0.A	C_BC11A_HUMAN.H11MO.0.A	230335	0.13549	25901	0.08574	13335	0.3325	7.81894E-219	True
BCL6_HUMAN.H11MO.0.A_BCL6_HUMAN.H11MO.0.A	BCL6_HUMAN.H11MO.0.A	BCL6_HUMAN.H11MO.0.A	C_BCL6_HUMAN.H11MO.0.A	67090	0.09688	4654	0.1009	4517	0.03656	6.52448E-101	False
BHA15_HUMAN.H11MO.0.B_BHA15_HUMAN.H11MO.0.B	BHA15_HUMAN.H11MO.0.B	BHA15_HUMAN.H11MO.0.B	C_ASCL1_HUMAN.H11MO.0.A	109500	0.11966	10808	0.16996	15782	-0.18959	5.54999E-182	False
BHE40_HUMAN.H11MO.0.A_BHE40_HUMAN.H11MO.0.A	BHE40_HUMAN.H11MO.0.A	BHE40_HUMAN.H11MO.0.A	C_BHE40_HUMAN.H11MO.0.A	20623	0.19799	3174	0.202	3075	0.0743	9.04484E-101	False
BMAL1_HUMAN.H11MO.0.A_BMAL1_HUMAN.H11MO.0.A	BMAL1_HUMAN.H11MO.0.A	BMAL1_HUMAN.H11MO.0.A	C_BHE40_HUMAN.H11MO.0.A	29132	0.16666	3801	0.16303	3416	0.08488	2.44161E-121	False
BRAC_HUMAN.H11MO.0.A_BRAC_HUMAN.H11MO.0.A	BRAC_HUMAN.H11MO.0.A	BRAC_HUMAN.H11MO.0.A	C_BRAC_HUMAN.H11MO.0.A	48552	0.09815	3356	0.09959	3195	0.04924	3.15421E-106	False
CDX1_HUMAN.H11MO.0.C_CDX1_HUMAN.H11MO.0.C	CDX1_HUMAN.H11MO.0.C	CDX1_HUMAN.H11MO.0.C	C_CDX1_HUMAN.H11MO.0.C	33376	0.06098	1055	0.07593	1299	-0.03895	3.05387E-91	False
CDX2_HUMAN.H11MO.0.A_CDX2_HUMAN.H11MO.0.A	CDX2_HUMAN.H11MO.0.A	CDX2_HUMAN.H11MO.0.A	C_CDX2_HUMAN.H11MO.0.A	43037	0.06765	1619	0.08315	1988	-0.03662	7.35992E-92	False
CEBPA_HUMAN.H11MO.0.A_CEBPA_HUMAN.H11MO.0.A	CEBPA_HUMAN.H11MO.0.A	CEBPA_HUMAN.H11MO.0.A	C_CEBPD_HUMAN.H11MO.0.C	36205	0.12817	3684	0.07721	1692	0.3175	1.34964E-179	True
CEBPB_HUMAN.H11MO.0.A_CEBPB_HUMAN.H11MO.0.A	CEBPB_HUMAN.H11MO.0.A	CEBPB_HUMAN.H11MO.0.A	C_CEBPD_HUMAN.H11MO.0.C	29208	0.13498	3122	0.08012	1422	0.33406	9.02671E-178	True
CEBPD_HUMAN.H11MO.0.C_CEBPD_HUMAN.H11MO.0.C	CEBPD_HUMAN.H11MO.0.C	CEBPD_HUMAN.H11MO.0.C	C_CEBPD_HUMAN.H11MO.0.C	30795	0.14263	3566	0.096	1980	0.29312	1.07852E-168	True
CEBPE_HUMAN.H11MO.0.A_CEBPE_HUMAN.H11MO.0.A	CEBPE_HUMAN.H11MO.0.A	CEBPE_HUMAN.H11MO.0.A	C_CEBPE_HUMAN.H11MO.0.A	20791	0.11039	1678	0.08226	1000	0.20961	1.84809E-149	False
CEBPG_HUMAN.H11MO.0.B_CEBPG_HUMAN.H11MO.0.B	CEBPG_HUMAN.H11MO.0.B	CEBPG_HUMAN.H11MO.0.B	C_CEBPG_HUMAN.H11MO.0.B	37258	0.107	2920	0.09214	2119	0.134	1.58655E-147	False
CLOCK_HUMAN.H11MO.0.C_CLOCK_HUMAN.H11MO.0.C	CLOCK_HUMAN.H11MO.0.C	CLOCK_HUMAN.H11MO.0.C	C_CLOCK_HUMAN.H11MO.0.C	44763	0.14242	4897	0.15144	5035	0.02132	4.80461E-67	False
COE1_HUMAN.H11MO.0.A_COE1_HUMAN.H11MO.0.A	COE1_HUMAN.H11MO.0.A	COE1_HUMAN.H11MO.0.A	C_COE1_HUMAN.H11MO.0.A	79686	0.1215	7340	0.13553	8055	-0.00444	7.81858E-21	False
COT1_HUMAN.H11MO.0.C_COT1_HUMAN.H11MO.0.C	COT1_HUMAN.H11MO.0.C	COT1_HUMAN.H11MO.0.C	C_RXRA_HUMAN.H11MO.0.A	134200	0.15551	16905	0.16896	18377	0.02413	9.49098E-97	False
COT2_HUMAN.H11MO.0.A_COT2_HUMAN.H11MO.0.A	COT2_HUMAN.H11MO.0.A	COT2_HUMAN.H11MO.0.A	C_COT2_HUMAN.H11MO.0.A	64646	0.11784	5548	0.09507	4076	0.20675	3.01642E-178	False
CREB1_HUMAN.H11MO.0.A_CREB1_HUMAN.H11MO.0.A	CREB1_HUMAN.H11MO.0.A	CREB1_HUMAN.H11MO.0.A	C_ATF1_HUMAN.H11MO.0.B	12920	0.30829	2888	0.32326	2858	0.04384	1.93697E-71	False
CREM_HUMAN.H11MO.0.C_CREM_HUMAN.H11MO.0.C	CREM_HUMAN.H11MO.0.C	CREM_HUMAN.H11MO.0.C	C_CREM_HUMAN.H11MO.0.C	23326	0.19816	3410	0.20443	3366	0.04701	4.44569E-85	False
CRX_HUMAN.H11MO.0.B_CRX_HUMAN.H11MO.0.B	CRX_HUMAN.H11MO.0.B	CRX_HUMAN.H11MO.0.B	C_CRX_HUMAN.H11MO.0.B	32183	0.08136	1689	0.09431	1873	-0.01152	1.61691E-38	False
CTCFL_HUMAN.H11MO.0.A_CTCFL_HUMAN.H11MO.0.A	CTCFL_HUMAN.H11MO.0.A	CTCFL_HUMAN.H11MO.0.A	C_CTCFL_HUMAN.H11MO.0.A	117887	0.25137	26478	0.31213	35041	-0.15331	1.07415E-168	False
CTCF_HUMAN.H11MO.0.A_CTCF_HUMAN.H11MO.0.A	CTCF_HUMAN.H11MO.0.A	CTCF_HUMAN.H11MO.0.A	C_CTCFL_HUMAN.H11MO.0.A	101106	0.22459	20515	0.27355	26396	-0.11462	3.41539E-159	False
CUX1_HUMAN.H11MO.0.C_CUX1_HUMAN.H11MO.0.C	CUX1_HUMAN.H11MO.0.C	CUX1_HUMAN.H11MO.0.C	C_CUX1_HUMAN.H11MO.0.C	8482	0.10807	607	0.14135	811	-0.122	2.53588E-104	False
DBP_HUMAN.H11MO.0.B_DBP_HUMAN.H11MO.0.B	DBP_HUMAN.H11MO.0.B	DBP_HUMAN.H11MO.0.B	C_DBP_HUMAN.H11MO.0.B	30372	0.10108	2261	0.07939	1404	0.15879	1.80877E-148	False
DLX3_HUMAN.H11MO.0.C_DLX3_HUMAN.H11MO.0.C	DLX3_HUMAN.H11MO.0.C	DLX3_HUMAN.H11MO.0.C	C_DLX3_HUMAN.H11MO.0.C	26271	0.05139	631	0.09544	1428	-0.23991	1.66667E-159	True
DUX4_HUMAN.H11MO.0.A_DUX4_HUMAN.H11MO.0.A	DUX4_HUMAN.H11MO.0.A	DUX4_HUMAN.H11MO.0.A	C_DUX4_HUMAN.H11MO.0.A	31540	0.06851	1185	0.07906	1241	-0.00717	3.15342E-24	False
E2F1_HUMAN.H11MO.0.A_E2F1_HUMAN.H11MO.0.A	E2F1_HUMAN.H11MO.0.A	E2F1_HUMAN.H11MO.0.A	C_E2F7_HUMAN.H11MO.0.B	102445	0.27482	24149	0.34671	31877	-0.20078	1.90903E-181	True
E2F2_HUMAN.H11MO.0.B_E2F2_HUMAN.H11MO.0.B	E2F2_HUMAN.H11MO.0.B	E2F2_HUMAN.H11MO.0.B	C_E2F2_HUMAN.H11MO.0.B	20341	0.35699	6080	0.43582	7769	-0.23087	2.12752E-152	True
E2F3_HUMAN.H11MO.0.A_E2F3_HUMAN.H11MO.0.A	E2F3_HUMAN.H11MO.0.A	E2F3_HUMAN.H11MO.0.A	C_E2F6_HUMAN.H11MO.0.A	105002	0.17859	15185	0.20834	18161	-0.03098	9.38642E-98	False
E2F4_HUMAN.H11MO.0.A_E2F4_HUMAN.H11MO.0.A	E2F4_HUMAN.H11MO.0.A	E2F4_HUMAN.H11MO.0.A	C_E2F7_HUMAN.H11MO.0.B	107741	0.35323	32052	0.42414	40007	-0.18463	6.14423E-177	False
E2F5_HUMAN.H11MO.0.B_E2F5_HUMAN.H11MO.0.B	E2F5_HUMAN.H11MO.0.B	E2F5_HUMAN.H11MO.0.B	C_E2F5_HUMAN.H11MO.0.B	11755	0.26078	2641	0.31538	3208	-0.17746	2.69536E-130	False
E2F6_HUMAN.H11MO.0.A_E2F6_HUMAN.H11MO.0.A	E2F6_HUMAN.H11MO.0.A	E2F6_HUMAN.H11MO.0.A	C_E2F6_HUMAN.H11MO.0.A	146364	0.19813	24183	0.24332	30930	-0.09763	1.49789E-151	False
E2F7_HUMAN.H11MO.0.B_E2F7_HUMAN.H11MO.0.B	E2F7_HUMAN.H11MO.0.B	E2F7_HUMAN.H11MO.0.B	C_E2F7_HUMAN.H11MO.0.B	162567	0.24929	33390	0.29178	40149	-0.06771	4.43142E-143	False
EGR1_HUMAN.H11MO.0.A_EGR1_HUMAN.H11MO.0.A	EGR1_HUMAN.H11MO.0.A	EGR1_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	190896	0.23297	37257	0.28385	46825	-0.11511	5.14048E-165	False
EGR2_HUMAN.H11MO.0.A_EGR2_HUMAN.H11MO.0.A	EGR2_HUMAN.H11MO.0.A	EGR2_HUMAN.H11MO.0.A	C_MAZ_HUMAN.H11MO.0.A	250297	0.19943	41170	0.2402	51079	-0.07789	1.23885E-161	False
EHF_HUMAN.H11MO.0.B_EHF_HUMAN.H11MO.0.B	EHF_HUMAN.H11MO.0.B	EHF_HUMAN.H11MO.0.B	C_ELF5_HUMAN.H11MO.0.A	99933	0.19179	16834	0.10355	7382	0.53702	1.19379E-221	True
ELF1_HUMAN.H11MO.0.A_ELF1_HUMAN.H11MO.0.A	ELF1_HUMAN.H11MO.0.A	ELF1_HUMAN.H11MO.0.A	C_ELF5_HUMAN.H11MO.0.A	74404	0.25799	16732	0.18108	10493	0.47713	1.48285E-210	True
ELF2_HUMAN.H11MO.0.C_ELF2_HUMAN.H11MO.0.C	ELF2_HUMAN.H11MO.0.C	ELF2_HUMAN.H11MO.0.C	C_FLI1_HUMAN.H11MO.0.A	77484	0.26353	17689	0.19031	11467	0.45943	3.80084E-218	True
ELF3_HUMAN.H11MO.0.A_ELF3_HUMAN.H11MO.0.A	ELF3_HUMAN.H11MO.0.A	ELF3_HUMAN.H11MO.0.A	C_ELF5_HUMAN.H11MO.0.A	132440	0.16627	19156	0.08593	7790	0.498	3.88534E-230	True
ELF5_HUMAN.H11MO.0.A_ELF5_HUMAN.H11MO.0.A	ELF5_HUMAN.H11MO.0.A	ELF5_HUMAN.H11MO.0.A	C_ELF5_HUMAN.H11MO.0.A	141247	0.19295	23729	0.12132	12897	0.45739	1.01412E-227	True
ELK1_HUMAN.H11MO.0.B_ELK1_HUMAN.H11MO.0.B	ELK1_HUMAN.H11MO.0.B	ELK1_HUMAN.H11MO.0.B	C_FLI1_HUMAN.H11MO.0.A	42760	0.30721	11077	0.23829	7733	0.44062	8.09932E-193	True
ELK4_HUMAN.H11MO.0.A_ELK4_HUMAN.H11MO.0.A	ELK4_HUMAN.H11MO.0.A	ELK4_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	33527	0.35601	9790	0.33437	8856	0.22069	8.03196E-159	False
EPAS1_HUMAN.H11MO.0.B_EPAS1_HUMAN.H11MO.0.B	EPAS1_HUMAN.H11MO.0.B	EPAS1_HUMAN.H11MO.0.B	C_ARNT_HUMAN.H11MO.0.B	7996	0.17425	1073	0.18629	1192	-0.01457	2.12463E-17	False
ERG_HUMAN.H11MO.0.A_ERG_HUMAN.H11MO.0.A	ERG_HUMAN.H11MO.0.A	ERG_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	167931	0.18091	26335	0.12982	16812	0.34896	9.93533E-213	True
ERR1_HUMAN.H11MO.0.A_ERR1_HUMAN.H11MO.0.A	ERR1_HUMAN.H11MO.0.A	ERR1_HUMAN.H11MO.0.A	C_ERR2_HUMAN.H11MO.0.A	46323	0.10631	3494	0.09286	2739	0.14305	2.98045E-155	False
ERR2_HUMAN.H11MO.0.A_ERR2_HUMAN.H11MO.0.A	ERR2_HUMAN.H11MO.0.A	ERR2_HUMAN.H11MO.0.A	C_ERR2_HUMAN.H11MO.0.A	39558	0.10437	2878	0.09151	2293	0.14049	3.85447E-150	False
ERR3_HUMAN.H11MO.0.B_ERR3_HUMAN.H11MO.0.B	ERR3_HUMAN.H11MO.0.B	ERR3_HUMAN.H11MO.0.B	C_ERR3_HUMAN.H11MO.0.B	27818	0.10121	1924	0.08259	1390	0.18499	1.33958E-157	False
ESR1_HUMAN.H11MO.0.A_ESR1_HUMAN.H11MO.0.A	ESR1_HUMAN.H11MO.0.A	ESR1_HUMAN.H11MO.0.A	C_ESR2_HUMAN.H11MO.0.A	52883	0.12683	5166	0.1374	5638	0.02691	1.18067E-83	False
ESR2_HUMAN.H11MO.0.A_ESR2_HUMAN.H11MO.0.A	ESR2_HUMAN.H11MO.0.A	ESR2_HUMAN.H11MO.0.A	C_ESR2_HUMAN.H11MO.0.A	59406	0.16297	7750	0.18557	9203	-0.01972	2.58925E-71	False
ETS1_HUMAN.H11MO.0.A_ETS1_HUMAN.H11MO.0.A	ETS1_HUMAN.H11MO.0.A	ETS1_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	112819	0.21201	20754	0.15058	13148	0.39878	3.01931E-212	True
ETS2_HUMAN.H11MO.0.B_ETS2_HUMAN.H11MO.0.B	ETS2_HUMAN.H11MO.0.B	ETS2_HUMAN.H11MO.0.B	C_ETS2_HUMAN.H11MO.0.B	210014	0.13721	23379	0.11742	18450	0.19147	2.36463E-195	False
ETV1_HUMAN.H11MO.0.A_ETV1_HUMAN.H11MO.0.A	ETV1_HUMAN.H11MO.0.A	ETV1_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	55792	0.27311	12814	0.24087	10591	0.2564	5.68086E-172	False
ETV2_HUMAN.H11MO.0.B_ETV2_HUMAN.H11MO.0.B	ETV2_HUMAN.H11MO.0.B	ETV2_HUMAN.H11MO.0.B	C_FLI1_HUMAN.H11MO.0.A	140226	0.17555	21234	0.12404	13309	0.34506	5.38428E-207	True
ETV4_HUMAN.H11MO.0.B_ETV4_HUMAN.H11MO.0.B	ETV4_HUMAN.H11MO.0.B	ETV4_HUMAN.H11MO.0.B	C_FLI1_HUMAN.H11MO.0.A	153947	0.15425	20434	0.10407	11791	0.33546	1.44509E-208	True
ETV5_HUMAN.H11MO.0.C_ETV5_HUMAN.H11MO.0.C	ETV5_HUMAN.H11MO.0.C	ETV5_HUMAN.H11MO.0.C	C_FLI1_HUMAN.H11MO.0.A	218729	0.15187	28076	0.11676	19479	0.26816	4.48325E-209	True
EVI1_HUMAN.H11MO.0.B_EVI1_HUMAN.H11MO.0.B	EVI1_HUMAN.H11MO.0.B	EVI1_HUMAN.H11MO.0.B	C_EVI1_HUMAN.H11MO.0.B	42285	0.06733	1526	0.06449	1205	0.09055	5.60922E-130	False
FEV_HUMAN.H11MO.0.B_FEV_HUMAN.H11MO.0.B	FEV_HUMAN.H11MO.0.B	FEV_HUMAN.H11MO.0.B	C_FEV_HUMAN.H11MO.0.B	72040	0.25544	15852	0.24733	15143	0.16283	1.26652E-165	False
FEZF1_HUMAN.H11MO.0.C_FEZF1_HUMAN.H11MO.0.C	FEZF1_HUMAN.H11MO.0.C	FEZF1_HUMAN.H11MO.0.C	C_FEZF1_HUMAN.H11MO.0.C	95439	0.08306	5323	0.09341	5597	-0.00238	2.68129E-08	False
FLI1_HUMAN.H11MO.0.A_FLI1_HUMAN.H11MO.0.A	FLI1_HUMAN.H11MO.0.A	FLI1_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	252360	0.15724	33103	0.14901	30212	0.14473	1.50212E-185	False
FOSB_HUMAN.H11MO.0.A_FOSB_HUMAN.H11MO.0.A	FOSB_HUMAN.H11MO.0.A	FOSB_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	47374	0.11823	4556	0.09131	2912	0.17573	1.61445E-157	False
FOSL1_HUMAN.H11MO.0.A_FOSL1_HUMAN.H11MO.0.A	FOSL1_HUMAN.H11MO.0.A	FOSL1_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	44543	0.12317	4577	0.09406	2873	0.18469	5.84543E-159	False
FOSL2_HUMAN.H11MO.0.A_FOSL2_HUMAN.H11MO.0.A	FOSL2_HUMAN.H11MO.0.A	FOSL2_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	45945	0.12094	4556	0.09203	2879	0.1866	9.14420E-167	False
FOS_HUMAN.H11MO.0.A_FOS_HUMAN.H11MO.0.A	FOS_HUMAN.H11MO.0.A	FOS_HUMAN.H11MO.0.A	C_FOSL2_HUMAN.H11MO.0.A	44346	0.12184	4446	0.09242	2789	0.18718	3.37451E-164	False
FOXA1_HUMAN.H11MO.0.A_FOXA1_HUMAN.H11MO.0.A	FOXA1_HUMAN.H11MO.0.A	FOXA1_HUMAN.H11MO.0.A	C_FOXM1_HUMAN.H11MO.0.A	65190	0.071	2770	0.08394	3099	-0.02224	1.55777E-76	False
FOXA2_HUMAN.H11MO.0.A_FOXA2_HUMAN.H11MO.0.A	FOXA2_HUMAN.H11MO.0.A	FOXA2_HUMAN.H11MO.0.A	C_FOXM1_HUMAN.H11MO.0.A	57820	0.0745	2733	0.09005	3091	-0.04004	1.30435E-91	False
FOXA3_HUMAN.H11MO.0.B_FOXA3_HUMAN.H11MO.0.B	FOXA3_HUMAN.H11MO.0.B	FOXA3_HUMAN.H11MO.0.B	C_FOXM1_HUMAN.H11MO.0.A	53477	0.07351	2389	0.08552	2636	-0.01546	6.53885E-64	False
FOXC1_HUMAN.H11MO.0.C_FOXC1_HUMAN.H11MO.0.C	FOXC1_HUMAN.H11MO.0.C	FOXC1_HUMAN.H11MO.0.C	C_FOXC1_HUMAN.H11MO.0.C	54492	0.06833	2134	0.07861	2332	-0.00714	2.61635E-30	False
FOXH1_HUMAN.H11MO.0.A_FOXH1_HUMAN.H11MO.0.A	FOXH1_HUMAN.H11MO.0.A	FOXH1_HUMAN.H11MO.0.A	C_FOXH1_HUMAN.H11MO.0.A	37819	0.08636	2218	0.09818	2348	-0.00975	2.86286E-33	False
FOXI1_HUMAN.H11MO.0.B_FOXI1_HUMAN.H11MO.0.B	FOXI1_HUMAN.H11MO.0.B	FOXI1_HUMAN.H11MO.0.B	C_NFYC_HUMAN.H11MO.0.A	36632	0.22199	5244	0.24356	5353	0.02603	1.41878E-67	False
FOXJ2_HUMAN.H11MO.0.C_FOXJ2_HUMAN.H11MO.0.C	FOXJ2_HUMAN.H11MO.0.C	FOXJ2_HUMAN.H11MO.0.C	C_FOXJ2_HUMAN.H11MO.0.C	79817	0.06489	2807	0.0748	2980	-0.00062	2.08185E-02	False
FOXJ3_HUMAN.H11MO.0.A_FOXJ3_HUMAN.H11MO.0.A	FOXJ3_HUMAN.H11MO.0.A	FOXJ3_HUMAN.H11MO.0.A	C_FOXJ3_HUMAN.H11MO.0.A	124255	0.069	4788	0.06668	3927	0.09171	8.91178E-151	False
FOXK1_HUMAN.H11MO.0.A_FOXK1_HUMAN.H11MO.0.A	FOXK1_HUMAN.H11MO.0.A	FOXK1_HUMAN.H11MO.0.A	C_FOXK1_HUMAN.H11MO.0.A	88933	0.07982	4677	0.08403	4328	0.02822	7.50455E-91	False
FOXM1_HUMAN.H11MO.0.A_FOXM1_HUMAN.H11MO.0.A	FOXM1_HUMAN.H11MO.0.A	FOXM1_HUMAN.H11MO.0.A	C_FOXM1_HUMAN.H11MO.0.A	78717	0.07688	3926	0.0879	4051	-0.01289	5.72033E-57	False
FOXO1_HUMAN.H11MO.0.A_FOXO1_HUMAN.H11MO.0.A	FOXO1_HUMAN.H11MO.0.A	FOXO1_HUMAN.H11MO.0.A	C_FOXO1_HUMAN.H11MO.0.A	85022	0.09874	6297	0.09883	5635	0.05562	3.76383E-121	False
FOXO3_HUMAN.H11MO.0.B_FOXO3_HUMAN.H11MO.0.B	FOXO3_HUMAN.H11MO.0.B	FOXO3_HUMAN.H11MO.0.B	C_FOXO1_HUMAN.H11MO.0.A	58833	0.08407	3426	0.09464	3527	-0.01189	1.50511E-52	False
FOXO4_HUMAN.H11MO.0.C_FOXO4_HUMAN.H11MO.0.C	FOXO4_HUMAN.H11MO.0.C	FOXO4_HUMAN.H11MO.0.C	C_FOXO4_HUMAN.H11MO.0.C	67105	0.07285	2865	0.08106	3036	0.01605	2.65212E-61	False
FOXP1_HUMAN.H11MO.0.A_FOXP1_HUMAN.H11MO.0.A	FOXP1_HUMAN.H11MO.0.A	FOXP1_HUMAN.H11MO.0.A	C_FOXP1_HUMAN.H11MO.0.A	70148	0.08092	3850	0.09169	4033	-0.00809	9.02082E-42	False
FOXP2_HUMAN.H11MO.0.C_FOXP2_HUMAN.H11MO.0.C	FOXP2_HUMAN.H11MO.0.C	FOXP2_HUMAN.H11MO.0.C	C_FOXO1_HUMAN.H11MO.0.A	39306	0.08109	2083	0.0938	2305	-0.02354	2.30130E-67	False
FOXQ1_HUMAN.H11MO.0.C_FOXQ1_HUMAN.H11MO.0.C	FOXQ1_HUMAN.H11MO.0.C	FOXQ1_HUMAN.H11MO.0.C	C_FOXQ1_HUMAN.H11MO.0.C	55782	0.063	1866	0.07536	2157	-0.01958	6.94440E-69	False
GABPA_HUMAN.H11MO.0.A_GABPA_HUMAN.H11MO.0.A	GABPA_HUMAN.H11MO.0.A	GABPA_HUMAN.H11MO.0.A	C_FLI1_HUMAN.H11MO.0.A	61859	0.30608	16452	0.23496	11581	0.44832	1.37722E-206	True
