"output_prefix" "name" "motif_id" "cluster" "total_tfbs" "MG_mean_score" "MG_bound" "OPC_mean_score" "OPC_bound" "MG_OPC_change" "MG_OPC_pvalue" "MG_OPC_highlighted" "Transcription.factor" "oRG" "vRG" "MG" "Oligo" "cat" "label"
"43" "CUX1_HUMAN.H11MO.0.C_CUX1_HUMAN.H11MO.0.C" "CUX1_HUMAN.H11MO.0.C" "CUX1_HUMAN.H11MO.0.C" "C_CUX1_HUMAN.H11MO.0.C" 8482 0.10807 607 0.14135 811 -0.122 2.53588e-104 "False" "CUX1" 53.6735919922454 54.1824865394307 82.3678419549831 57.3436868309037 "NOT_SIG" NA
"50" "E2F3_HUMAN.H11MO.0.A_E2F3_HUMAN.H11MO.0.A" "E2F3_HUMAN.H11MO.0.A" "E2F3_HUMAN.H11MO.0.A" "C_E2F6_HUMAN.H11MO.0.A" 105002 0.17859 15185 0.20834 18161 -0.03098 9.38642e-98 "False" "E2F3" 15.2120949795795 13.1648601587678 13.932108213024 10.1254501625644 "NOT_SIG" NA
"51" "E2F4_HUMAN.H11MO.0.A_E2F4_HUMAN.H11MO.0.A" "E2F4_HUMAN.H11MO.0.A" "E2F4_HUMAN.H11MO.0.A" "C_E2F7_HUMAN.H11MO.0.B" 107741 0.35323 32052 0.42414 40007 -0.18463 6.14423e-177 "False" "E2F4" 14.3588357463169 16.7960443342223 35.1015477039833 14.4454984136584 "NOT_SIG" NA
"52" "E2F5_HUMAN.H11MO.0.B_E2F5_HUMAN.H11MO.0.B" "E2F5_HUMAN.H11MO.0.B" "E2F5_HUMAN.H11MO.0.B" "C_E2F5_HUMAN.H11MO.0.B" 11755 0.26078 2641 0.31538 3208 -0.17746 2.69536e-130 "False" "E2F5" 27.7031396267483 24.8780288006759 1.08867597469101 16.7097993972912 "NOT_SIG" NA
"55" "EGR1_HUMAN.H11MO.0.A_EGR1_HUMAN.H11MO.0.A" "EGR1_HUMAN.H11MO.0.A" "EGR1_HUMAN.H11MO.0.A" "C_MAZ_HUMAN.H11MO.0.A" 190896 0.23297 37257 0.28385 46825 -0.11511 5.14048e-165 "False" "EGR1" 329.926553849359 849.735354412048 483.261587913562 605.994499964464 "NOT_SIG" NA
"56" "EGR2_HUMAN.H11MO.0.A_EGR2_HUMAN.H11MO.0.A" "EGR2_HUMAN.H11MO.0.A" "EGR2_HUMAN.H11MO.0.A" "C_MAZ_HUMAN.H11MO.0.A" 250297 0.19943 41170 0.2402 51079 -0.07789 1.23885e-161 "False" "EGR2" 7.21367086059979 24.7231018115431 157.360300122349 13.292767915794 "NOT_SIG" NA
"58" "ELF1_HUMAN.H11MO.0.A_ELF1_HUMAN.H11MO.0.A" "ELF1_HUMAN.H11MO.0.A" "ELF1_HUMAN.H11MO.0.A" "C_ELF5_HUMAN.H11MO.0.A" 74404 0.25799 16732 0.18108 10493 0.47713 1.48285e-210 "True" "ELF1" 7.1081723435332 6.3123932191264 55.4602552144459 8.78617294010402 "MG" "ELF1"
"59" "ELF2_HUMAN.H11MO.0.C_ELF2_HUMAN.H11MO.0.C" "ELF2_HUMAN.H11MO.0.C" "ELF2_HUMAN.H11MO.0.C" "C_FLI1_HUMAN.H11MO.0.A" 77484 0.26353 17689 0.19031 11467 0.45943 3.80084e-218 "True" "ELF2" 35.3743632895532 34.9743358423042 56.3878028177686 39.723322349767 "MG" "ELF2"
"63" "ELK4_HUMAN.H11MO.0.A_ELK4_HUMAN.H11MO.0.A" "ELK4_HUMAN.H11MO.0.A" "ELK4_HUMAN.H11MO.0.A" "C_FLI1_HUMAN.H11MO.0.A" 33527 0.35601 9790 0.33437 8856 0.22069 8.03196e-159 "False" "ELK4" 15.7602770311608 16.128127309673 20.1848018557598 14.5236378152662 "NOT_SIG" NA
"66" "ERR1_HUMAN.H11MO.0.A_ERR1_HUMAN.H11MO.0.A" "ERR1_HUMAN.H11MO.0.A" "ERR1_HUMAN.H11MO.0.A" "C_ERR2_HUMAN.H11MO.0.A" 46323 0.10631 3494 0.09286 2739 0.14305 2.98045e-155 "False" "ESRRA" 4.90930675295044 4.23375310356385 23.5416488639486 7.79336600453254 "NOT_SIG" NA
"71" "ETS1_HUMAN.H11MO.0.A_ETS1_HUMAN.H11MO.0.A" "ETS1_HUMAN.H11MO.0.A" "ETS1_HUMAN.H11MO.0.A" "C_FLI1_HUMAN.H11MO.0.A" 112819 0.21201 20754 0.15058 13148 0.39878 3.01931e-212 "True" "ETS1" 3.03224280194202 3.08000562225532 14.5410116581557 7.55712601326804 "MG" "ETS1"
"72" "ETS2_HUMAN.H11MO.0.B_ETS2_HUMAN.H11MO.0.B" "ETS2_HUMAN.H11MO.0.B" "ETS2_HUMAN.H11MO.0.B" "C_ETS2_HUMAN.H11MO.0.B" 210014 0.13721 23379 0.11742 18450 0.19147 2.36463e-195 "False" "ETS2" 0.752370223051421 0.893040468309774 41.1076075780114 1.3242595653659 "NOT_SIG" NA
"76" "ETV5_HUMAN.H11MO.0.C_ETV5_HUMAN.H11MO.0.C" "ETV5_HUMAN.H11MO.0.C" "ETV5_HUMAN.H11MO.0.C" "C_FLI1_HUMAN.H11MO.0.A" 218729 0.15187 28076 0.11676 19479 0.26816 4.48325e-209 "True" "ETV5" 53.6656606258218 33.0517971138219 76.5887605076574 64.1880708162572 "MG" "ETV5"
"80" "FLI1_HUMAN.H11MO.0.A_FLI1_HUMAN.H11MO.0.A" "FLI1_HUMAN.H11MO.0.A" "FLI1_HUMAN.H11MO.0.A" "C_FLI1_HUMAN.H11MO.0.A" 252360 0.15724 33103 0.14901 30212 0.14473 1.50212e-185 "False" "FLI1" 0.574122522522057 0.470380274821257 64.8786509266509 1.09384280013446 "NOT_SIG" NA
"81" "FOSB_HUMAN.H11MO.0.A_FOSB_HUMAN.H11MO.0.A" "FOSB_HUMAN.H11MO.0.A" "FOSB_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 47374 0.11823 4556 0.09131 2912 0.17573 1.61445e-157 "False" "FOSB" 206.689333441415 487.301448282258 969.864883813764 297.711169999663 "NOT_SIG" NA
"83" "FOSL2_HUMAN.H11MO.0.A_FOSL2_HUMAN.H11MO.0.A" "FOSL2_HUMAN.H11MO.0.A" "FOSL2_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 45945 0.12094 4556 0.09203 2879 0.1866 9.1442e-167 "False" "FOSL2" 0.895032546100169 1.94732255053954 21.5273761865572 1.04672311325579 "NOT_SIG" NA
"84" "FOS_HUMAN.H11MO.0.A_FOS_HUMAN.H11MO.0.A" "FOS_HUMAN.H11MO.0.A" "FOS_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 44346 0.12184 4446 0.09242 2789 0.18718 3.37451e-164 "False" "FOS" 960.455648036471 1629.48159179819 2286.10379994357 1137.53159381736 "NOT_SIG" NA
"92" "FOXJ3_HUMAN.H11MO.0.A_FOXJ3_HUMAN.H11MO.0.A" "FOXJ3_HUMAN.H11MO.0.A" "FOXJ3_HUMAN.H11MO.0.A" "C_FOXJ3_HUMAN.H11MO.0.A" 124255 0.069 4788 0.06668 3927 0.09171 8.91178e-151 "False" "FOXJ3" 28.9165353422436 23.123850624664 46.262868495421 31.9697593244788 "NOT_SIG" NA
"93" "FOXK1_HUMAN.H11MO.0.A_FOXK1_HUMAN.H11MO.0.A" "FOXK1_HUMAN.H11MO.0.A" "FOXK1_HUMAN.H11MO.0.A" "C_FOXK1_HUMAN.H11MO.0.A" 88933 0.07982 4677 0.08403 4328 0.02822 7.50455e-91 "False" "FOXK1" 20.1705724797456 22.3455715292223 20.5448461920499 13.6209415277724 "NOT_SIG" NA
"94" "FOXM1_HUMAN.H11MO.0.A_FOXM1_HUMAN.H11MO.0.A" "FOXM1_HUMAN.H11MO.0.A" "FOXM1_HUMAN.H11MO.0.A" "C_FOXM1_HUMAN.H11MO.0.A" 78717 0.07688 3926 0.0879 4051 -0.01289 5.72033e-57 "False" "FOXM1" 23.8308705175808 21.929839128585 6.74282080752853 12.5187731740005 "NOT_SIG" NA
"96" "FOXO3_HUMAN.H11MO.0.B_FOXO3_HUMAN.H11MO.0.B" "FOXO3_HUMAN.H11MO.0.B" "FOXO3_HUMAN.H11MO.0.B" "C_FOXO1_HUMAN.H11MO.0.A" 58833 0.08407 3426 0.09464 3527 -0.01189 1.50511e-52 "False" "FOXO3" 11.2515534043965 11.8021888923842 13.7346264896095 12.4397377763188 "NOT_SIG" NA
"98" "FOXP1_HUMAN.H11MO.0.A_FOXP1_HUMAN.H11MO.0.A" "FOXP1_HUMAN.H11MO.0.A" "FOXP1_HUMAN.H11MO.0.A" "C_FOXP1_HUMAN.H11MO.0.A" 70148 0.08092 3850 0.09169 4033 -0.00809 9.02082e-42 "False" "FOXP1" 70.7447495709844 70.7053981662622 22.2971090012974 55.0307467936602 "NOT_SIG" NA
"107" "GCR_HUMAN.H11MO.0.A_GCR_HUMAN.H11MO.0.A" "GCR_HUMAN.H11MO.0.A" "GCR_HUMAN.H11MO.0.A" "C_PRGR_HUMAN.H11MO.0.A" 48872 0.09614 3413 0.10574 3545 0.00619 1.69306e-26 "False" "NR3C1" 2.42810805050515 2.56064731462106 37.259614216939 11.2986522669793 "NOT_SIG" NA
"114" "HIF1A_HUMAN.H11MO.0.C_HIF1A_HUMAN.H11MO.0.C" "HIF1A_HUMAN.H11MO.0.C" "HIF1A_HUMAN.H11MO.0.C" "C_HIF1A_HUMAN.H11MO.0.C" 9410 0.19407 1411 0.21569 1632 -0.0475 1.58397e-73 "False" "HIF1A" 35.3706251446427 41.7100100761842 606.127495338445 58.5397183616034 "NOT_SIG" NA
"115" "HINFP_HUMAN.H11MO.0.C_HINFP_HUMAN.H11MO.0.C" "HINFP_HUMAN.H11MO.0.C" "HINFP_HUMAN.H11MO.0.C" "C_HINFP_HUMAN.H11MO.0.C" 9375 0.25098 1943 0.26811 2165 0.01929 2.83489e-34 "False" "HINFP" 21.3341502382752 21.3336797532137 23.3641151249568 24.9342319784063 "NOT_SIG" NA
"122" "HSF1_HUMAN.H11MO.0.A_HSF1_HUMAN.H11MO.0.A" "HSF1_HUMAN.H11MO.0.A" "HSF1_HUMAN.H11MO.0.A" "C_HSF1_HUMAN.H11MO.0.A" 49156 0.10558 3755 0.10122 3279 0.09716 1.45595e-134 "False" "HSF1" 8.60169765102125 9.53086231493943 18.4336613130717 9.17533038695805 "NOT_SIG" NA
"123" "HSF1_HUMAN.H11MO.0.A_HSF1_HUMAN.H11MO.0.A" "HSF1_HUMAN.H11MO.0.A" "HSF1_HUMAN.H11MO.0.A" "C_HSF1_HUMAN.H11MO.0.A" 49156 0.10558 3755 0.10122 3279 0.09716 1.45595e-134 "False" "HSF1" 8.60169765102125 9.53086231493943 18.4336613130717 9.17533038695805 "NOT_SIG" NA
"125" "HTF4_HUMAN.H11MO.0.A_HTF4_HUMAN.H11MO.0.A" "HTF4_HUMAN.H11MO.0.A" "HTF4_HUMAN.H11MO.0.A" "C_HTF4_HUMAN.H11MO.0.A" 107284 0.10525 8673 0.14372 12104 -0.1371 3.34653e-167 "False" "TCF12" 66.0236226810095 98.6860616975951 195.720850372957 191.114841546201 "NOT_SIG" NA
"135" "IKZF1_HUMAN.H11MO.0.C_IKZF1_HUMAN.H11MO.0.C" "IKZF1_HUMAN.H11MO.0.C" "IKZF1_HUMAN.H11MO.0.C" "C_IKZF1_HUMAN.H11MO.0.C" 122043 0.11568 10115 0.12489 11065 0.05923 8.04921e-132 "False" "IKZF1" 0.128949544313015 0.405803066133595 186.343782330672 0.0634958003143801 "NOT_SIG" NA
"137" "IRF1_HUMAN.H11MO.0.A_IRF1_HUMAN.H11MO.0.A" "IRF1_HUMAN.H11MO.0.A" "IRF1_HUMAN.H11MO.0.A" "C_IRF3_HUMAN.H11MO.0.B" 185315 0.10545 14913 0.07044 7404 0.2529 3.79732e-204 "True" "IRF1" 28.8373599476869 69.421294492528 36.4281049127777 10.4178156960634 "MG" "IRF1"
"138" "IRF2_HUMAN.H11MO.0.A_IRF2_HUMAN.H11MO.0.A" "IRF2_HUMAN.H11MO.0.A" "IRF2_HUMAN.H11MO.0.A" "C_IRF3_HUMAN.H11MO.0.B" 154020 0.11301 13639 0.07374 6751 0.27335 2.03986e-202 "True" "IRF2" 16.6723889150267 13.5563678034304 29.0601718953431 15.6042014476299 "MG" "IRF2"
"139" "IRF3_HUMAN.H11MO.0.B_IRF3_HUMAN.H11MO.0.B" "IRF3_HUMAN.H11MO.0.B" "IRF3_HUMAN.H11MO.0.B" "C_IRF3_HUMAN.H11MO.0.B" 255394 0.11431 22647 0.09112 15712 0.20166 3.12584e-205 "True" "IRF3" 15.4991160519112 15.0990304197192 119.594524804372 28.1971372803739 "MG" "IRF3"
"143" "IRF8_HUMAN.H11MO.0.B_IRF8_HUMAN.H11MO.0.B" "IRF8_HUMAN.H11MO.0.B" "IRF8_HUMAN.H11MO.0.B" "C_IRF8_HUMAN.H11MO.0.B" 159610 0.13778 18440 0.07657 7710 0.38073 4.65997e-218 "True" "IRF8" 0.373790499713453 1.17800585036774 476.342013795686 0.245956273337399 "MG" "IRF8"
"144" "IRF9_HUMAN.H11MO.0.C_IRF9_HUMAN.H11MO.0.C" "IRF9_HUMAN.H11MO.0.C" "IRF9_HUMAN.H11MO.0.C" "C_IRF9_HUMAN.H11MO.0.C" 65190 0.09904 4870 0.07404 2748 0.19102 8.77491e-166 "False" "IRF9" 26.1097102156156 22.3244302466695 57.3939801238546 22.3590521355622 "NOT_SIG" NA
"145" "IRF9_HUMAN.H11MO.0.C_IRF9_HUMAN.H11MO.0.C" "IRF9_HUMAN.H11MO.0.C" "IRF9_HUMAN.H11MO.0.C" "C_IRF9_HUMAN.H11MO.0.C" 65190 0.09904 4870 0.07404 2748 0.19102 8.77491e-166 "False" "IRF9" 26.1097102156156 22.3244302466695 57.3939801238546 22.3590521355622 "NOT_SIG" NA
"147" "ITF2_HUMAN.H11MO.0.C_ITF2_HUMAN.H11MO.0.C" "ITF2_HUMAN.H11MO.0.C" "ITF2_HUMAN.H11MO.0.C" "C_ASCL1_HUMAN.H11MO.0.A" 115856 0.1088 9932 0.15386 14486 -0.17049 1.86336e-181 "False" "TCF4" 284.444241031797 355.817849025848 153.137705231027 363.879125094199 "NOT_SIG" NA
"148" "JUNB_HUMAN.H11MO.0.A_JUNB_HUMAN.H11MO.0.A" "JUNB_HUMAN.H11MO.0.A" "JUNB_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 48601 0.12634 5159 0.09157 3060 0.21582 5.79925e-167 "False" "JUNB" 20.9392242602738 38.5480263278405 206.418179547137 30.3901922304945 "NOT_SIG" NA
"149" "JUND_HUMAN.H11MO.0.A_JUND_HUMAN.H11MO.0.A" "JUND_HUMAN.H11MO.0.A" "JUND_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 45763 0.12738 4835 0.09457 2999 0.21042 4.15053e-166 "False" "JUND" 96.606897345559 134.025933225798 167.824589588968 105.097668254903 "NOT_SIG" NA
"150" "JUN_HUMAN.H11MO.0.A_JUN_HUMAN.H11MO.0.A" "JUN_HUMAN.H11MO.0.A" "JUN_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 43134 0.12324 4377 0.09318 2753 0.19383 2.63836e-157 "False" "JUN" 219.310036136611 382.735517165506 758.146956823408 198.812616508356 "NOT_SIG" NA
"152" "KLF12_HUMAN.H11MO.0.C_KLF12_HUMAN.H11MO.0.C" "KLF12_HUMAN.H11MO.0.C" "KLF12_HUMAN.H11MO.0.C" "C_SP2_HUMAN.H11MO.0.A" 158115 0.31859 41241 0.36894 49040 -0.10445 8.43119e-165 "False" "KLF12" 19.7592789945115 23.3361039782413 9.85849216883634 37.9895328266191 "NOT_SIG" NA
"155" "KLF3_HUMAN.H11MO.0.B_KLF3_HUMAN.H11MO.0.B" "KLF3_HUMAN.H11MO.0.B" "KLF3_HUMAN.H11MO.0.B" "C_SP2_HUMAN.H11MO.0.A" 223951 0.27494 51301 0.32934 63780 -0.13044 1.28745e-176 "False" "KLF3" 19.5019414534338 17.9607491691218 35.0943676788456 17.2253107599351 "NOT_SIG" NA
"158" "KLF6_HUMAN.H11MO.0.A_KLF6_HUMAN.H11MO.0.A" "KLF6_HUMAN.H11MO.0.A" "KLF6_HUMAN.H11MO.0.A" "C_SP2_HUMAN.H11MO.0.A" 279086 0.23036 53432 0.27673 66657 -0.10064 2.52361e-170 "False" "KLF6" 86.2508558429536 86.3336903563851 948.723180397893 57.8080522040894 "NOT_SIG" NA
"162" "LHX2_HUMAN.H11MO.0.A_LHX2_HUMAN.H11MO.0.A" "LHX2_HUMAN.H11MO.0.A" "LHX2_HUMAN.H11MO.0.A" "C_LHX2_HUMAN.H11MO.0.A" 35685 0.05854 1085 0.10428 2272 -0.24735 4.95348e-166 "True" "LHX2" 88.072668234786 78.5139315376537 2.84597296569877 20.7921452479406 "Oligo" NA
"165" "MAFB_HUMAN.H11MO.0.B_MAFB_HUMAN.H11MO.0.B" "MAFB_HUMAN.H11MO.0.B" "MAFB_HUMAN.H11MO.0.B" "C_MAFB_HUMAN.H11MO.0.B" 60527 0.11552 5620 0.10506 4460 0.09306 4.48876e-134 "False" "MAFB" 0.435437996543564 0.816928709638636 44.3153397042128 0.621876837887103 "NOT_SIG" NA
"166" "MAFF_HUMAN.H11MO.0.B_MAFF_HUMAN.H11MO.0.B" "MAFF_HUMAN.H11MO.0.B" "MAFF_HUMAN.H11MO.0.B" "C_MAFF_HUMAN.H11MO.0.B" 65372 0.10689 5390 0.09213 4027 0.13532 3.66594e-160 "False" "MAFF" 10.4994988286636 24.0795563084533 117.399054265661 11.7726765900257 "NOT_SIG" NA
"167" "MAFG_HUMAN.H11MO.0.A_MAFG_HUMAN.H11MO.0.A" "MAFG_HUMAN.H11MO.0.A" "MAFG_HUMAN.H11MO.0.A" "C_MAFK_HUMAN.H11MO.0.A" 45022 0.11861 4357 0.1005 3183 0.14247 9.73418e-144 "False" "MAFG" 9.57379361362743 8.99566270180026 29.9441023586761 8.60028998666748 "NOT_SIG" NA
"168" "MAFK_HUMAN.H11MO.0.A_MAFK_HUMAN.H11MO.0.A" "MAFK_HUMAN.H11MO.0.A" "MAFK_HUMAN.H11MO.0.A" "C_MAFK_HUMAN.H11MO.0.A" 48808 0.10965 4205 0.0886 2792 0.15573 1.03717e-152 "False" "MAFK" 2.9744933508733 7.08980162870758 26.7991500463582 1.83928483574153 "NOT_SIG" NA
"169" "MAF_HUMAN.H11MO.0.A_MAF_HUMAN.H11MO.0.A" "MAF_HUMAN.H11MO.0.A" "MAF_HUMAN.H11MO.0.A" "C_MAFK_HUMAN.H11MO.0.A" 68569 0.1098 5802 0.09383 4305 0.14884 1.32557e-166 "False" "MAF" 1.39287175897888 1.28103716807812 182.630160674928 2.73308809931455 "NOT_SIG" NA
"170" "MAX_HUMAN.H11MO.0.A_MAX_HUMAN.H11MO.0.A" "MAX_HUMAN.H11MO.0.A" "MAX_HUMAN.H11MO.0.A" "C_MAX_HUMAN.H11MO.0.A" 33850 0.17716 4880 0.18742 5109 0.01876 2.37138e-59 "False" "MAX" 34.289682303873 40.4118614341756 86.238973714561 37.3795532124054 "NOT_SIG" NA
