"output_prefix" "name" "motif_id" "cluster" "total_tfbs" "oRG_mean_score" "oRG_bound" "vRG_mean_score" "vRG_bound" "oRG_vRG_change" "oRG_vRG_pvalue" "oRG_vRG_highlighted" "Transcription.factor" "oRG" "vRG" "MG" "Oligo" "cat" "label"
"22" "BCL6_HUMAN.H11MO.0.A_BCL6_HUMAN.H11MO.0.A" "BCL6_HUMAN.H11MO.0.A" "BCL6_HUMAN.H11MO.0.A" "C_BCL6_HUMAN.H11MO.0.A" 53192 0.12923 6052 0.12904 6003 0.00762 1.4598e-30 "False" "BCL6" 17.0399555717925 20.8345721826169 58.721380220492 36.8000661472183 "NOT_SIG" NA
"33" "CEBPG_HUMAN.H11MO.0.B_CEBPG_HUMAN.H11MO.0.B" "CEBPG_HUMAN.H11MO.0.B" "CEBPG_HUMAN.H11MO.0.B" "C_CEBPG_HUMAN.H11MO.0.B" 28012 0.12974 3094 0.13092 3090 -0.0087 3.19917e-28 "False" "CEBPG" 11.0114368054344 12.2427480170396 10.2202573885624 7.70853202985005 "NOT_SIG" NA
"36" "COT1_HUMAN.H11MO.0.C_COT1_HUMAN.H11MO.0.C" "COT1_HUMAN.H11MO.0.C" "COT1_HUMAN.H11MO.0.C" "C_RXRA_HUMAN.H11MO.0.A" 105713 0.19466 20662 0.2002 21155 -0.05735 6.05049e-125 "False" "NR2F1" 30.6710504165118 34.302386738604 3.36401675873946 9.65714336582887 "NOT_SIG" NA
"38" "CREB1_HUMAN.H11MO.0.A_CREB1_HUMAN.H11MO.0.A" "CREB1_HUMAN.H11MO.0.A" "CREB1_HUMAN.H11MO.0.A" "C_ATF1_HUMAN.H11MO.0.B" 10036 0.34796 3076 0.36484 3154 -0.13398 1.40281e-112 "False" "CREB1" 37.0938016214386 40.2337322953306 44.0094524151393 42.877411742793 "NOT_SIG" NA
"39" "CREM_HUMAN.H11MO.0.C_CREM_HUMAN.H11MO.0.C" "CREM_HUMAN.H11MO.0.C" "CREM_HUMAN.H11MO.0.C" "C_CREM_HUMAN.H11MO.0.C" 17910 0.23416 3767 0.24355 3863 -0.09346 3.29085e-115 "False" "CREM" 12.3245471498361 12.9777621603351 31.8236008868899 15.4067012281003 "NOT_SIG" NA
"42" "CTCF_HUMAN.H11MO.0.A_CTCF_HUMAN.H11MO.0.A" "CTCF_HUMAN.H11MO.0.A" "CTCF_HUMAN.H11MO.0.A" "C_CTCFL_HUMAN.H11MO.0.A" 90180 0.27097 28982 0.27367 28981 -0.00266 1.25796e-10 "False" "CTCF" 32.8657787144313 34.923909783083 35.151321131569 31.2263257079593 "NOT_SIG" NA
"43" "CUX1_HUMAN.H11MO.0.C_CUX1_HUMAN.H11MO.0.C" "CUX1_HUMAN.H11MO.0.C" "CUX1_HUMAN.H11MO.0.C" "C_CUX1_HUMAN.H11MO.0.C" 7095 0.1598 1004 0.16211 983 -0.03113 6.67701e-48 "False" "CUX1" 53.6735919922454 54.1824865394307 82.3678419549831 57.3436868309037 "NOT_SIG" NA
"47" "E2F1_HUMAN.H11MO.0.A_E2F1_HUMAN.H11MO.0.A" "E2F1_HUMAN.H11MO.0.A" "E2F1_HUMAN.H11MO.0.A" "C_E2F7_HUMAN.H11MO.0.B" 96422 0.32147 33866 0.33129 34787 -0.08723 7.84093e-139 "False" "E2F1" 17.4179007836857 18.3147023246971 3.71694189660935 8.43450908257385 "NOT_SIG" NA
"50" "E2F3_HUMAN.H11MO.0.A_E2F3_HUMAN.H11MO.0.A" "E2F3_HUMAN.H11MO.0.A" "E2F3_HUMAN.H11MO.0.A" "C_E2F6_HUMAN.H11MO.0.A" 87185 0.22815 20413 0.23412 20918 -0.05783 1.13746e-128 "False" "E2F3" 15.2120949795795 13.1648601587678 13.932108213024 10.1254501625644 "NOT_SIG" NA
"51" "E2F4_HUMAN.H11MO.0.A_E2F4_HUMAN.H11MO.0.A" "E2F4_HUMAN.H11MO.0.A" "E2F4_HUMAN.H11MO.0.A" "C_E2F7_HUMAN.H11MO.0.B" 103292 0.37256 41477 0.38304 42468 -0.08935 8.69798e-148 "False" "E2F4" 14.3588357463169 16.7960443342223 35.1015477039833 14.4454984136584 "NOT_SIG" NA
"52" "E2F5_HUMAN.H11MO.0.B_E2F5_HUMAN.H11MO.0.B" "E2F5_HUMAN.H11MO.0.B" "E2F5_HUMAN.H11MO.0.B" "C_E2F5_HUMAN.H11MO.0.B" 10298 0.29536 3332 0.3055 3435 -0.05953 4.09728e-80 "False" "E2F5" 27.7031396267483 24.8780288006759 1.08867597469101 16.7097993972912 "NOT_SIG" NA
"54" "E2F7_HUMAN.H11MO.0.B_E2F7_HUMAN.H11MO.0.B" "E2F7_HUMAN.H11MO.0.B" "E2F7_HUMAN.H11MO.0.B" "C_E2F7_HUMAN.H11MO.0.B" 139891 0.29274 42728 0.3014 43811 -0.07552 4.56275e-145 "False" "E2F7" 18.2823919823147 19.3935827083071 1.5869665278911 9.94808583166648 "NOT_SIG" NA
"55" "EGR1_HUMAN.H11MO.0.A_EGR1_HUMAN.H11MO.0.A" "EGR1_HUMAN.H11MO.0.A" "EGR1_HUMAN.H11MO.0.A" "C_MAZ_HUMAN.H11MO.0.A" 164914 0.28068 49119 0.29063 50811 -0.1058 1.87251e-162 "False" "EGR1" 329.926553849359 849.735354412048 483.261587913562 605.994499964464 "NOT_SIG" NA
"56" "EGR2_HUMAN.H11MO.0.A_EGR2_HUMAN.H11MO.0.A" "EGR2_HUMAN.H11MO.0.A" "EGR2_HUMAN.H11MO.0.A" "C_MAZ_HUMAN.H11MO.0.A" 205923 0.24939 53676 0.25843 55488 -0.09958 2.14998e-172 "True" "EGR2" 7.21367086059979 24.7231018115431 157.360300122349 13.292767915794 "vRG" NA
"59" "ELF2_HUMAN.H11MO.0.C_ELF2_HUMAN.H11MO.0.C" "ELF2_HUMAN.H11MO.0.C" "ELF2_HUMAN.H11MO.0.C" "C_ELF2_HUMAN.H11MO.0.C" 45664 0.26564 11960 0.27129 12015 -0.01377 3.46512e-50 "False" "ELF2" 35.3743632895532 34.9743358423042 56.3878028177686 39.723322349767 "NOT_SIG" NA
"63" "ELK4_HUMAN.H11MO.0.A_ELK4_HUMAN.H11MO.0.A" "ELK4_HUMAN.H11MO.0.A" "ELK4_HUMAN.H11MO.0.A" "C_ELF2_HUMAN.H11MO.0.C" 25244 0.35751 9062 0.36639 9122 -0.018 9.65631e-49 "False" "ELK4" 15.7602770311608 16.128127309673 20.1848018557598 14.5236378152662 "NOT_SIG" NA
"73" "ETV1_HUMAN.H11MO.0.A_ETV1_HUMAN.H11MO.0.A" "ETV1_HUMAN.H11MO.0.A" "ETV1_HUMAN.H11MO.0.A" "C_ELF2_HUMAN.H11MO.0.C" 37795 0.28614 10854 0.29189 10849 -0.01345 9.1118e-48 "False" "ETV1" 43.9562803815143 23.1297050862488 0.854456456484266 56.8031092403882 "NOT_SIG" NA
"76" "ETV5_HUMAN.H11MO.0.C_ETV5_HUMAN.H11MO.0.C" "ETV5_HUMAN.H11MO.0.C" "ETV5_HUMAN.H11MO.0.C" "C_FLI1_HUMAN.H11MO.0.A" 142735 0.16527 22642 0.16717 22733 -0.00805 1.21591e-47 "False" "ETV5" 53.6656606258218 33.0517971138219 76.5887605076574 64.1880708162572 "NOT_SIG" NA
"81" "FOSB_HUMAN.H11MO.0.A_FOSB_HUMAN.H11MO.0.A" "FOSB_HUMAN.H11MO.0.A" "FOSB_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 32429 0.1255 3586 0.13399 3826 -0.16289 7.64785e-145 "True" "FOSB" 206.689333441415 487.301448282258 969.864883813764 297.711169999663 "vRG" "FOSB"
"84" "FOS_HUMAN.H11MO.0.A_FOS_HUMAN.H11MO.0.A" "FOS_HUMAN.H11MO.0.A" "FOS_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 30166 0.1266 3401 0.13581 3639 -0.17582 4.51472e-151 "True" "FOS" 960.455648036471 1629.48159179819 2286.10379994357 1137.53159381736 "vRG" NA
"92" "FOXJ3_HUMAN.H11MO.0.A_FOXJ3_HUMAN.H11MO.0.A" "FOXJ3_HUMAN.H11MO.0.A" "FOXJ3_HUMAN.H11MO.0.A" "C_FOXJ3_HUMAN.H11MO.0.A" 93325 0.09155 6158 0.08898 5729 0.06053 1.50682e-125 "True" "FOXJ3" 28.9165353422436 23.123850624664 46.262868495421 31.9697593244788 "oRG" "FOXJ3"
"93" "FOXK1_HUMAN.H11MO.0.A_FOXK1_HUMAN.H11MO.0.A" "FOXK1_HUMAN.H11MO.0.A" "FOXK1_HUMAN.H11MO.0.A" "C_FOXK1_HUMAN.H11MO.0.A" 67565 0.10988 6013 0.10826 5796 0.03185 9.18254e-98 "False" "FOXK1" 20.1705724797456 22.3455715292223 20.5448461920499 13.6209415277724 "NOT_SIG" NA
"94" "FOXM1_HUMAN.H11MO.0.A_FOXM1_HUMAN.H11MO.0.A" "FOXM1_HUMAN.H11MO.0.A" "FOXM1_HUMAN.H11MO.0.A" "C_FOXM1_HUMAN.H11MO.0.A" 62510 0.11287 5843 0.1113 5629 0.02664 1.78074e-78 "False" "FOXM1" 23.8308705175808 21.929839128585 6.74282080752853 12.5187731740005 "NOT_SIG" NA
"96" "FOXO3_HUMAN.H11MO.0.B_FOXO3_HUMAN.H11MO.0.B" "FOXO3_HUMAN.H11MO.0.B" "FOXO3_HUMAN.H11MO.0.B" "C_FOXP2_HUMAN.H11MO.0.C" 41183 0.11859 4164 0.11754 4035 0.01714 6.74914e-57 "False" "FOXO3" 11.2515534043965 11.8021888923842 13.7346264896095 12.4397377763188 "NOT_SIG" NA
"98" "FOXP1_HUMAN.H11MO.0.A_FOXP1_HUMAN.H11MO.0.A" "FOXP1_HUMAN.H11MO.0.A" "FOXP1_HUMAN.H11MO.0.A" "C_FOXP1_HUMAN.H11MO.0.A" 54849 0.11394 5224 0.11294 5028 0.01678 1.89674e-67 "False" "FOXP1" 70.7447495709844 70.7053981662622 22.2971090012974 55.0307467936602 "NOT_SIG" NA
"101" "GABPA_HUMAN.H11MO.0.A_GABPA_HUMAN.H11MO.0.A" "GABPA_HUMAN.H11MO.0.A" "GABPA_HUMAN.H11MO.0.A" "C_ELF2_HUMAN.H11MO.0.C" 38710 0.31068 12203 0.31782 12267 -0.02854 1.88145e-76 "False" "GABPA" 10.1123432239251 10.5541865195025 7.01866774410925 8.63938886494129 "NOT_SIG" NA
"110" "GLI3_HUMAN.H11MO.0.B_GLI3_HUMAN.H11MO.0.B" "GLI3_HUMAN.H11MO.0.B" "GLI3_HUMAN.H11MO.0.B" "C_GLI3_HUMAN.H11MO.0.B" 36429 0.1586 5430 0.16457 5648 -0.07284 8.4852e-110 "False" "GLI3" 186.624757239675 168.175454902023 1.95645458747919 17.6325145839713 "NOT_SIG" NA
"114" "HIF1A_HUMAN.H11MO.0.C_HIF1A_HUMAN.H11MO.0.C" "HIF1A_HUMAN.H11MO.0.C" "HIF1A_HUMAN.H11MO.0.C" "C_HIF1A_HUMAN.H11MO.0.C" 7216 0.22222 1603 0.2324 1677 -0.10165 1.41142e-94 "False" "HIF1A" 35.3706251446427 41.7100100761842 606.127495338445 58.5397183616034 "NOT_SIG" NA
"115" "HINFP_HUMAN.H11MO.0.C_HINFP_HUMAN.H11MO.0.C" "HINFP_HUMAN.H11MO.0.C" "HINFP_HUMAN.H11MO.0.C" "C_HINFP_HUMAN.H11MO.0.C" 8535 0.26392 2378 0.27215 2494 -0.05644 4.30942e-79 "False" "HINFP" 21.3341502382752 21.3336797532137 23.3641151249568 24.9342319784063 "NOT_SIG" NA
"125" "HTF4_HUMAN.H11MO.0.A_HTF4_HUMAN.H11MO.0.A" "HTF4_HUMAN.H11MO.0.A" "HTF4_HUMAN.H11MO.0.A" "C_ASCL1_HUMAN.H11MO.0.A" 75279 0.15127 11042 0.15962 11581 -0.1317 4.69739e-158 "False" "TCF12" 66.0236226810095 98.6860616975951 195.720850372957 191.114841546201 "NOT_SIG" NA
"136" "INSM1_HUMAN.H11MO.0.C_INSM1_HUMAN.H11MO.0.C" "INSM1_HUMAN.H11MO.0.C" "INSM1_HUMAN.H11MO.0.C" "C_INSM1_HUMAN.H11MO.0.C" 61965 0.21189 13472 0.21746 13816 -0.06091 3.68549e-115 "False" "INSM1" 3.19254071451432 11.9623996525658 1.45089701001647 6.80401483308491 "NOT_SIG" NA
"137" "IRF1_HUMAN.H11MO.0.A_IRF1_HUMAN.H11MO.0.A" "IRF1_HUMAN.H11MO.0.A" "IRF1_HUMAN.H11MO.0.A" "C_IRF3_HUMAN.H11MO.0.B" 129480 0.10788 11397 0.10529 10676 0.05579 2.06961e-132 "False" "IRF1" 28.8373599476869 69.421294492528 36.4281049127777 10.4178156960634 "NOT_SIG" NA
"138" "IRF2_HUMAN.H11MO.0.A_IRF2_HUMAN.H11MO.0.A" "IRF2_HUMAN.H11MO.0.A" "IRF2_HUMAN.H11MO.0.A" "C_IRF3_HUMAN.H11MO.0.B" 105630 0.11327 9949 0.11108 9443 0.05108 1.0082e-120 "False" "IRF2" 16.6723889150267 13.5563678034304 29.0601718953431 15.6042014476299 "NOT_SIG" NA
"139" "IRF3_HUMAN.H11MO.0.B_IRF3_HUMAN.H11MO.0.B" "IRF3_HUMAN.H11MO.0.B" "IRF3_HUMAN.H11MO.0.B" "C_IRF3_HUMAN.H11MO.0.B" 178619 0.1295 20590 0.12977 20275 0.01153 1.03157e-68 "False" "IRF3" 15.4991160519112 15.0990304197192 119.594524804372 28.1971372803739 "NOT_SIG" NA
"144" "IRF9_HUMAN.H11MO.0.C_IRF9_HUMAN.H11MO.0.C" "IRF9_HUMAN.H11MO.0.C" "IRF9_HUMAN.H11MO.0.C" "C_IRF9_HUMAN.H11MO.0.C" 49045 0.10802 4304 0.10513 4032 0.06295 7.66786e-112 "True" "IRF9" 26.1097102156156 22.3244302466695 57.3939801238546 22.3590521355622 "oRG" "IRF9"
"145" "IRF9_HUMAN.H11MO.0.C_IRF9_HUMAN.H11MO.0.C" "IRF9_HUMAN.H11MO.0.C" "IRF9_HUMAN.H11MO.0.C" "C_IRF9_HUMAN.H11MO.0.C" 49045 0.10802 4304 0.10513 4032 0.06295 7.66786e-112 "True" "IRF9" 26.1097102156156 22.3244302466695 57.3939801238546 22.3590521355622 "oRG" "IRF9"
"147" "ITF2_HUMAN.H11MO.0.C_ITF2_HUMAN.H11MO.0.C" "ITF2_HUMAN.H11MO.0.C" "ITF2_HUMAN.H11MO.0.C" "C_ASCL1_HUMAN.H11MO.0.A" 81268 0.15458 12428 0.16416 13233 -0.15768 1.91656e-166 "True" "TCF4" 284.444241031797 355.817849025848 153.137705231027 363.879125094199 "vRG" "TCF4"
"148" "JUNB_HUMAN.H11MO.0.A_JUNB_HUMAN.H11MO.0.A" "JUNB_HUMAN.H11MO.0.A" "JUNB_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 31984 0.12655 3634 0.13539 3892 -0.16089 9.10138e-152 "True" "JUNB" 20.9392242602738 38.5480263278405 206.418179547137 30.3901922304945 "vRG" NA
"149" "JUND_HUMAN.H11MO.0.A_JUND_HUMAN.H11MO.0.A" "JUND_HUMAN.H11MO.0.A" "JUND_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 30057 0.1287 3435 0.13855 3725 -0.18333 1.45911e-152 "True" "JUND" 96.606897345559 134.025933225798 167.824589588968 105.097668254903 "vRG" NA
"150" "JUN_HUMAN.H11MO.0.A_JUN_HUMAN.H11MO.0.A" "JUN_HUMAN.H11MO.0.A" "JUN_HUMAN.H11MO.0.A" "C_FOSL2_HUMAN.H11MO.0.A" 29613 0.12529 3256 0.13492 3521 -0.18232 3.60956e-152 "True" "JUN" 219.310036136611 382.735517165506 758.146956823408 198.812616508356 "vRG" "JUN"
"151" "KAISO_HUMAN.H11MO.0.A_KAISO_HUMAN.H11MO.0.A" "KAISO_HUMAN.H11MO.0.A" "KAISO_HUMAN.H11MO.0.A" "C_KAISO_HUMAN.H11MO.0.A" 17113 0.37309 6862 0.38385 7014 -0.06882 1.31286e-90 "False" "ZBTB33" 12.6805439676674 10.423013863985 4.95192295409996 6.89222983447 "NOT_SIG" NA
"152" "KLF12_HUMAN.H11MO.0.C_KLF12_HUMAN.H11MO.0.C" "KLF12_HUMAN.H11MO.0.C" "KLF12_HUMAN.H11MO.0.C" "C_SP2_HUMAN.H11MO.0.A" 139128 0.34597 49827 0.35721 51257 -0.10815 1.01286e-160 "False" "KLF12" 19.7592789945115 23.3361039782413 9.85849216883634 37.9895328266191 "NOT_SIG" NA
"155" "KLF3_HUMAN.H11MO.0.B_KLF3_HUMAN.H11MO.0.B" "KLF3_HUMAN.H11MO.0.B" "KLF3_HUMAN.H11MO.0.B" "C_SP2_HUMAN.H11MO.0.A" 199037 0.30882 65262 0.31935 67357 -0.10777 1.66201e-165 "True" "KLF3" 19.5019414534338 17.9607491691218 35.0943676788456 17.2253107599351 "vRG" NA
"156" "KLF4_HUMAN.H11MO.0.A_KLF4_HUMAN.H11MO.0.A" "KLF4_HUMAN.H11MO.0.A" "KLF4_HUMAN.H11MO.0.A" "C_SP2_HUMAN.H11MO.0.A" 91296 0.32829 30142 0.34054 31164 -0.13408 1.92667e-154 "False" "KLF4" 4.83633751165145 11.2348740691862 38.8806071698891 5.4416202190777 "NOT_SIG" NA
"158" "KLF6_HUMAN.H11MO.0.A_KLF6_HUMAN.H11MO.0.A" "KLF6_HUMAN.H11MO.0.A" "KLF6_HUMAN.H11MO.0.A" "C_SP2_HUMAN.H11MO.0.A" 237162 0.27374 68751 0.28294 71013 -0.09443 3.92843e-165 "True" "KLF6" 86.2508558429536 86.3336903563851 948.723180397893 57.8080522040894 "vRG" NA
"162" "LHX2_HUMAN.H11MO.0.A_LHX2_HUMAN.H11MO.0.A" "LHX2_HUMAN.H11MO.0.A" "LHX2_HUMAN.H11MO.0.A" "C_LHX2_HUMAN.H11MO.0.A" 39134 0.14944 5414 0.14052 5032 0.12746 2.95979e-143 "True" "LHX2" 88.072668234786 78.5139315376537 2.84597296569877 20.7921452479406 "oRG" "LHX2"
"166" "MAFF_HUMAN.H11MO.0.B_MAFF_HUMAN.H11MO.0.B" "MAFF_HUMAN.H11MO.0.B" "MAFF_HUMAN.H11MO.0.B" "C_MAFF_HUMAN.H11MO.0.B" 46479 0.12703 5271 0.12823 5302 -0.0178 1.44103e-59 "False" "MAFF" 10.4994988286636 24.0795563084533 117.399054265661 11.7726765900257 "NOT_SIG" NA
"170" "MAX_HUMAN.H11MO.0.A_MAX_HUMAN.H11MO.0.A" "MAX_HUMAN.H11MO.0.A" "MAX_HUMAN.H11MO.0.A" "C_MAX_HUMAN.H11MO.0.A" 25285 0.20524 5322 0.21414 5492 -0.10547 2.2271e-122 "False" "MAX" 34.289682303873 40.4118614341756 86.238973714561 37.3795532124054 "NOT_SIG" NA
"171" "MAZ_HUMAN.H11MO.0.A_MAZ_HUMAN.H11MO.0.A" "MAZ_HUMAN.H11MO.0.A" "MAZ_HUMAN.H11MO.0.A" "C_MAZ_HUMAN.H11MO.0.A" 279836 0.22914 66912 0.23671 69025 -0.08096 1.32348e-161 "False" "MAZ" 63.0994200856998 65.8975275683135 50.7409021417796 40.4304176182926 "NOT_SIG" NA
"172" "MBD2_HUMAN.H11MO.0.B_MBD2_HUMAN.H11MO.0.B" "MBD2_HUMAN.H11MO.0.B" "MBD2_HUMAN.H11MO.0.B" "C_MBD2_HUMAN.H11MO.0.B" 50745 0.32983 19597 0.3366 19933 -0.04876 1.43492e-100 "False" "MBD2" 14.0711988599084 13.0364533040545 26.1328959546675 14.0317613580365 "NOT_SIG" NA
"173" "MECP2_HUMAN.H11MO.0.C_MECP2_HUMAN.H11MO.0.C" "MECP2_HUMAN.H11MO.0.C" "MECP2_HUMAN.H11MO.0.C" "C_MECP2_HUMAN.H11MO.0.C" 42133 0.26679 12711 0.27348 13064 -0.06915 1.34862e-115 "False" "MECP2" 34.4130754023269 42.1837263936876 62.5135999144202 35.8403051252706 "NOT_SIG" NA
"174" "MEF2A_HUMAN.H11MO.0.A_MEF2A_HUMAN.H11MO.0.A" "MEF2A_HUMAN.H11MO.0.A" "MEF2A_HUMAN.H11MO.0.A" "C_MEF2B_HUMAN.H11MO.0.A" 55721 0.09283 3782 0.0912 3563 0.03102 8.72756e-92 "False" "MEF2A" 12.9527468668116 14.1913102902072 190.616102958153 13.9872257537665 "NOT_SIG" NA
"176" "MEF2C_HUMAN.H11MO.0.A_MEF2C_HUMAN.H11MO.0.A" "MEF2C_HUMAN.H11MO.0.A" "MEF2C_HUMAN.H11MO.0.A" "C_MEF2B_HUMAN.H11MO.0.A" 54808 0.09275 3708 0.09103 3493 0.03617 1.81207e-98 "False" "MEF2C" 10.6150405773485 25.5456252171191 429.776807559899 10.8506281185413 "NOT_SIG" NA
"178" "MEIS1_HUMAN.H11MO.0.A_MEIS1_HUMAN.H11MO.0.A" "MEIS1_HUMAN.H11MO.0.A" "MEIS1_HUMAN.H11MO.0.A" "C_MEIS1_HUMAN.H11MO.0.A" 25477 0.10304 1999 0.1009 1887 0.03095 9.75004e-72 "False" "MEIS1" 38.9936475811457 28.234473483083 9.624806847183 45.4204703527409 "NOT_SIG" NA
"179" "MEIS2_HUMAN.H11MO.0.B_MEIS2_HUMAN.H11MO.0.B" "MEIS2_HUMAN.H11MO.0.B" "MEIS2_HUMAN.H11MO.0.B" "C_MEIS2_HUMAN.H11MO.0.B" 33344 0.11697 3246 0.11861 3204 -0.04938 2.5371e-93 "False" "MEIS2" 275.14559050265 279.060008857044 24.2664473358406 127.042848999331 "NOT_SIG" NA
"182" "MXI1_HUMAN.H11MO.0.A_MXI1_HUMAN.H11MO.0.A" "MXI1_HUMAN.H11MO.0.A" "MXI1_HUMAN.H11MO.0.A" "C_MXI1_HUMAN.H11MO.0.A" 41764 0.23814 10508 0.24742 10819 -0.11102 6.22143e-142 "False" "MXI1" 15.4826025896302 13.5607977367871 4.08018815286636 12.3240664109953 "NOT_SIG" NA
"184" "MYCN_HUMAN.H11MO.0.A_MYCN_HUMAN.H11MO.0.A" "MYCN_HUMAN.H11MO.0.A" "MYCN_HUMAN.H11MO.0.A" "C_MYCN_HUMAN.H11MO.0.A" 24286 0.24203 6111 0.25081 6263 -0.09401 3.85838e-114 "False" "MYCN" 16.5442786680786 18.8598835020742 1.73019526995856 9.91496254137367 "NOT_SIG" NA
"189" "MZF1_HUMAN.H11MO.0.B_MZF1_HUMAN.H11MO.0.B" "MZF1_HUMAN.H11MO.0.B" "MZF1_HUMAN.H11MO.0.B" "C_MZF1_HUMAN.H11MO.0.B" 77012 0.17669 13442 0.18261 13921 -0.0713 1.14526e-130 "False" "MZF1" 23.1777576697857 24.360716589902 34.7668496092501 23.2928884927669 "NOT_SIG" NA
"193" "NF2L1_HUMAN.H11MO.0.C_NF2L1_HUMAN.H11MO.0.C" "NF2L1_HUMAN.H11MO.0.C" "NF2L1_HUMAN.H11MO.0.C" "C_NF2L1_HUMAN.H11MO.0.C" 14809 0.11605 1434 0.1179 1434 -0.05148 8.42548e-85 "False" "NFE2L1" 34.6261673811256 28.091588968087 33.7224059672286 19.8394580138793 "NOT_SIG" NA
